Feature_Clean,LightGBM,XGBoost,CatBoost,Mean,Std,Original_Feature
SIAM_16D_emb_diff_10,684,0.0024185567,1.4886886483409991,0.01412717153839378,0.01134784641172978,SIAM_16D_emb_diff_10
SIAM_16D_emb_diff_5,518,0.0024065275,1.816332267582004,0.013186736124709225,0.00934508801902495,SIAM_16D_emb_diff_5
SIAM_8D_emb_diff_6,504,0.0022424578,1.38139537293141,0.01151117226764232,0.008358710795746394,SIAM_8D_emb_diff_6
SIAM_16D_emb_diff_14,439,0.0023102371,1.579918203606841,0.011401188145140828,0.007874375742762056,SIAM_16D_emb_diff_14
LM_gdpg_diff,294,0.020167325,0.24213590661832465,0.011122331718691708,0.00887798324418964,LM_gdpg_diff
RN_DEEP_gdpg_diff,18,0.029019447,0.17434830503034118,0.010474275570012766,0.01606972553053997,RN_DEEP_gdpg_diff
ED_expected_score_diff,4,0.029943006,0.12962444940545298,0.010461964766571429,0.016880865631290917,ED_expected_score_diff
SIAM_16D_emb_diff_6,454,0.0022376403,1.2481301901687571,0.010454333773450128,0.007414018838197252,SIAM_16D_emb_diff_6
SIAM_8D_euclidean_dist,298,0.0023249693,1.6556018401760575,0.009935314255684322,0.007166954133303181,SIAM_8D_euclidean_dist
SIAM_8D_emb_diff_5,362,0.0023645,1.4090712598149082,0.00990882224280793,0.006546409478322831,SIAM_8D_emb_diff_5
mELO_4D_intrans,456,0.0022528057,1.0101451962301433,0.009690546217060907,0.007241036981421407,mELO_4D_intrans
SIAM_16D_emb_diff_8,393,0.002253278,1.2000323550769907,0.00955378142116925,0.006435987127815148,SIAM_16D_emb_diff_8
mELO_8D_intrans,326,0.0022486493,1.3890211477549022,0.009363440555971353,0.006237377644650205,mELO_8D_intrans
SIAM_16D_emb_diff_0,370,0.0022293502,1.1597197086230846,0.009130362931581334,0.006056863386998817,SIAM_16D_emb_diff_0
SIAM_16D_emb_diff_1,484,0.0022875522,0.7070097305965393,0.009033845441123201,0.007913077757611391,SIAM_16D_emb_diff_1
SIAM_8D_emb_diff_1,358,0.002296127,1.1429977580158486,0.008950238323709872,0.005824589613111585,SIAM_8D_emb_diff_1
ED_HOME_p_away_win,81,0.02114735,0.21839120749624905,0.008766932232397124,0.010728949437543565,ED_HOME_p_away_win
mELO_2D_intrans,381,0.0021839752,0.9840757659719479,0.008664181518472426,0.005979377004678498,mELO_2D_intrans
LM_gpg_diff,484,0.0035217204,0.4616540565334707,0.008627382589840903,0.007914078874366064,LM_gpg_diff
ED_AUTO_draw_tendency,346,0.0023063608,1.0553066012406729,0.008514702054674831,0.005481201529987198,ED_AUTO_draw_tendency
LM_LONG_gdpg_diff,245,0.014387762,0.18121828719683866,0.008393957070293166,0.00630837375538628,LM_LONG_gdpg_diff
mELO_2D_c_norm_diff,276,0.0022916365,1.2387911728400305,0.008265987683856767,0.005296914930131549,mELO_2D_c_norm_diff
SIAM_16D_emb_diff_11,421,0.0023215206,0.6707423813083944,0.00815439767829799,0.006675043762649393,SIAM_16D_emb_diff_11
SIAM_8D_emb_diff_0,405,0.0021778534,0.7058259130643154,0.008027928788385473,0.006390327243074112,SIAM_8D_emb_diff_0
BARS_FAST_surprise_diff,317,0.002593679,0.9267749144698118,0.007827646887439877,0.0046830402945854084,BARS_FAST_surprise_diff
momentum_TS_ordinal,27,0.019386124,0.30845475832415836,0.007820172124459866,0.010071016560921187,momentum_TS_ordinal
mELO_2D_rating_diff,95,0.018142067,0.18158009949794887,0.007813551862511817,0.008983505900426136,mELO_2D_rating_diff
SIAM_16D_emb_diff_7,287,0.0022265345,1.0380494276542858,0.0077095712483175455,0.004748973828291265,SIAM_16D_emb_diff_7
mELO_8D_c_norm_diff,318,0.0022716718,0.9196230983513481,0.0077086921052591005,0.004866845263725158,mELO_8D_c_norm_diff
SIAM_8D_emb_diff_7,301,0.0023238591,0.9379173945831076,0.007579323647993551,0.004626047875155689,SIAM_8D_emb_diff_7
SIAM_16D_cosine_sim,272,0.0022734813,1.0330726737186837,0.007525326388533034,0.004551771040576533,SIAM_16D_cosine_sim
SIAM_8D_emb_diff_3,270,0.0022129633,1.0436239514507129,0.007515884019094953,0.004600329413225265,SIAM_8D_emb_diff_3
mELO_4D_c_norm_diff,342,0.0021091313,0.7894658978387861,0.007513941998754037,0.005224865624829706,mELO_4D_c_norm_diff
RN_gdpg_diff,75,0.014030178,0.5297729864328887,0.007359159058667048,0.0059160926050651815,RN_gdpg_diff
MASSEY_diff,344,0.0039886846,0.4279554338203321,0.006959865504298254,0.004896496001109173,MASSEY_diff
TS_ordinal_diff,109,0.014722894,0.21552722150057013,0.006958068927060436,0.006787229755950926,TS_ordinal_diff
SIAM_16D_emb_diff_4,206,0.002203549,1.0716406917850638,0.006824035368857347,0.004302882840461566,SIAM_16D_emb_diff_4
SIAM_8D_cosine_sim,259,0.002246137,0.8441750977132517,0.006727689025225188,0.003916715338882262,SIAM_8D_cosine_sim
momentum_BARS_mu,10,0.017642407,0.21307737956735853,0.006713263257879712,0.009505929844195923,momentum_BARS_mu
SIAM_16D_euclidean_dist,252,0.0021651513,0.8521148558526882,0.00664161749320095,0.003893292869996405,SIAM_16D_euclidean_dist
ED_HOME_p_draw,276,0.0035119865,0.6197289276598489,0.0066092301735606864,0.0033224231009016127,ED_HOME_p_draw
LM_dr_diff,247,0.0022217864,0.7669117244961443,0.006315383891057806,0.0036122700389834804,LM_dr_diff
mELO_8D_p_home_win,78,0.014008243,0.2066470820098066,0.006311421820178846,0.006677427083437748,mELO_8D_p_home_win
SIAM_16D_emb_diff_12,299,0.0021744445,0.5492380272594196,0.00620948026090568,0.004437259301821834,SIAM_16D_emb_diff_12
BARS_SLOW_k_factor_diff,230,0.00226794,0.7790381179387479,0.006163444489118308,0.003388825640835694,BARS_SLOW_k_factor_diff
LM_LONG_rank_diff,325,0.0026524537,0.35991582998521354,0.006055470679603803,0.005096358266534176,LM_LONG_rank_diff
ED_AUTO_p_away_win,133,0.0115738595,0.1509695806863809,0.005986486024183296,0.005123172262101238,ED_AUTO_p_away_win
SIAM_8D_emb_diff_2,322,0.0021382386,0.39798430108616184,0.005974299629737123,0.00513264828525379,SIAM_8D_emb_diff_2
LNET_ppg_diff,97,0.012056872,0.20113204905141396,0.005874767427334009,0.005409289077165798,LNET_ppg_diff
KEEN_diff,279,0.0044084745,0.2976197842746431,0.005871023313240875,0.0038409486881318547,KEEN_diff
RN_form10_diff,266,0.0027639456,0.5096972389417588,0.005870907849737494,0.0035576366750663235,RN_form10_diff
LMLE_ppg_diff,31,0.0150953885,0.12805381886210185,0.005837471774062702,0.008017914590537379,LMLE_ppg_diff
BARS_surprise_diff,274,0.0024831935,0.43449877667043973,0.005624424743971432,0.003939961914723034,BARS_surprise_diff
SIAM_16D_emb_diff_2,204,0.0022960028,0.701454641505148,0.005596459182164911,0.0028676904639467907,SIAM_16D_emb_diff_2
BARS_SLOW_p_draw,174,0.005269016,0.5097941683680279,0.005581986148708415,0.0006955146812168162,BARS_SLOW_p_draw
BARS_kurtosis_diff,270,0.0022569885,0.4317050000529098,0.005490829263741136,0.0039536437254978005,BARS_kurtosis_diff
mELO_4D_rating_diff,56,0.012175974,0.2223050964154508,0.005484012365031095,0.005796032747387604,mELO_4D_rating_diff
WL_AGR_certainty_diff,248,0.0024142186,0.46670163634076756,0.005391047971138394,0.0033972125815556844,WL_AGR_certainty_diff
ED_AUTO_p_draw,174,0.0028248702,0.6913972785854167,0.005372614526705087,0.0022225660350409086,ED_AUTO_p_draw
SIAM_16D_emb_diff_13,191,0.0020893144,0.701555417803249,0.005369034963301585,0.0028403291346605717,SIAM_16D_emb_diff_13
LM_LONG_dr_diff,287,0.002322074,0.3098622483187377,0.0053141271483611455,0.004526560555272377,LM_LONG_dr_diff
