bin_left,bin_right,count,avg_pred,actual_rate,diff
0.0,0.05,0,,,
0.05,0.1,0,,,
0.1,0.15000000000000002,0,,,
0.15000000000000002,0.2,0,,,
0.2,0.25,0,,,
0.25,0.30000000000000004,0,,,
0.30000000000000004,0.35000000000000003,0,,,
0.35000000000000003,0.4,15,0.383551178396421,0.6,0.21644882160357898
0.4,0.45,28,0.42728499998446196,0.42857142857142855,0.0012864285869665926
0.45,0.5,101,0.4761950065171197,0.4752475247524752,-0.0009474817646444866
0.5,0.55,120,0.5239605856415582,0.5916666666666667,0.06770608102510844
0.55,0.6000000000000001,151,0.5759091635644951,0.6622516556291391,0.08634249206464406
0.6000000000000001,0.65,140,0.6262387882432163,0.6142857142857143,-0.011953073957502003
0.65,0.7000000000000001,125,0.6731005760748944,0.696,0.022899423925105578
0.7000000000000001,0.75,133,0.7269289555045708,0.7969924812030075,0.07006352569843666
0.75,0.8,111,0.773577650065251,0.7837837837837838,0.01020613371853274
0.8,0.8500000000000001,54,0.8218521321412552,0.8518518518518519,0.029999719710596673
0.8500000000000001,0.9,22,0.8720822934047082,1.0,0.12791770659529178
0.9,0.9500000000000001,0,,,
0.9500000000000001,1.0,0,,,
