bet_no,Date,P1,P2,pick_side,pick_odds,model_conf,pick_ev,pick_correct,stake_frac,stake_units,pnl_units,bankroll_before,bankroll_after,drawdown_pct
1,2025-02-11,Navone M.,Comesana F.,P1,1.4249999999999998,0.7680940165694339,0.09453397361144317,1,0.03,30.0,12.749999999999995,1000.0,1012.75,0.0
2,2025-02-12,Gaston H.,Coria F.,P1,2.25,0.5525211026212339,0.2431724808977762,0,0.03,30.3825,-30.3825,1012.75,982.3675,3.000000000000005
3,2025-02-12,Etcheverry T.,Fonseca J.,P1,2.0524999999999998,0.5286254347403414,0.08500370480455066,0,0.020190903754050044,19.834887643606756,-19.834887643606756,982.3675,962.5326123563932,4.9585176641428585
4,2025-02-14,Navone M.,Fonseca J.,P1,2.4050000000000002,0.5627904472176554,0.35351102555846126,0,0.03,28.875978370691794,-28.875978370691794,962.5326123563932,933.6566339857014,7.809762134218571
5,2025-02-17,Shevchenko A.,Meligeni Alves F.,P1,2.1575,0.5246027235804447,0.13183037612480952,1,0.028473083396287124,26.584083202971602,30.771076307439635,933.6566339857014,964.4277102931411,4.771393700998163
6,2025-02-18,Darderi L.,Dellien H.,P1,1.9575,0.6172152662721981,0.2081988837278279,1,0.03,28.93283130879423,27.703185978170477,964.4277102931411,992.1308962713116,2.0359519850593335
7,2025-02-19,Jarry N.,Comesana F.,P1,1.5725000000000002,0.741637942836139,0.16622566510982884,0,0.03,29.76392688813935,-29.76392688813935,992.1308962713116,962.3669693831722,4.974873425507558
8,2025-02-23,Baez S.,Muller A.,P1,1.76,0.6085367539298643,0.07102468691656116,1,0.02336338385413196,22.484148914236712,17.0879531748199,962.3669693831722,979.4549225579921,3.2875909594675816
9,2025-02-24,Seyboth Wild T.,Heide G.,P1,1.5899999999999999,0.6738844095240138,0.07147621114318192,0,0.03,29.38364767673976,-29.38364767673976,979.4549225579921,950.0712748812523,6.188963230683556
10,2025-02-25,Monteiro T.,Cerundolo J.M.,P1,1.8625,0.6011869060390692,0.11971061249776649,1,0.03,28.502138246437568,24.5830942375524,950.0712748812523,974.6543691188047,3.761602654277497
11,2025-02-26,Faria J.,Heide G.,P1,2.0,0.5475720113151681,0.09514402263033617,1,0.02378600565758404,23.18313433804889,23.18313433804889,974.6543691188047,997.8375034568536,1.472475590535315
12,2025-02-26,Comesana F.,Meligeni Alves F.,P1,1.7575,0.611925997545929,0.07545994068697032,1,0.024904270853785562,24.850415454154668,18.824189706522162,997.8375034568536,1016.6616931633757,0.0
13,2025-02-26,Coria F.,Barrios M.,P1,2.18,0.5361172831018106,0.16873567716194726,1,0.03,30.49985079490127,35.9898239379835,1016.6616931633757,1052.6515171013593,0.0
14,2025-03-31,Navone M.,Djere L.,P1,2.0525,0.5477882052447397,0.12433529126482834,1,0.02953332334081433,31.088297619753188,32.720433244790236,1052.6515171013593,1085.3719503461496,0.0
15,2025-04-01,Dzumhur D.,Vacherot V.,P1,1.6324999999999998,0.703707702772179,0.14880282477558204,1,0.03,32.56115851038449,20.59493275781818,1085.3719503461496,1105.9668831039678,0.0
