ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,BFEW,BFEL
3.0,Adelaide,Adelaide International,2026-01-13,ATP250,Outdoor,Hard,1st Round,3,Vavassori A.,Diallo G.,141.0,75.0,0.0,45.0,6.0,3.0,7.0,6.0,,,,,,,2.0,0.0,Completed,3.4,1.33,,,3.5,1.9,3.05,1.42,3.75,1.35
3.0,Adelaide,Adelaide International,2026-01-13,ATP250,Outdoor,Hard,1st Round,3,Shevchenko A.,Dzumhur D.,67.0,78.0,68.0,33.0,4.0,6.0,6.0,4.0,7.0,5.0,,,,,2.0,1.0,Completed,1.73,2.1,,,1.74,2.25,1.67,2.15,1.74,2.32
3.0,Adelaide,Adelaide International,2026-01-13,ATP250,Outdoor,Hard,1st Round,3,Halys Q.,Fearnley J.,58.0,127.0,95.0,10.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.57,2.38,,,1.68,2.38,1.63,2.23,1.71,2.34
3.0,Adelaide,Adelaide International,2026-01-13,ATP250,Outdoor,Hard,1st Round,3,Machac T.,Duckworth J.,23.0,128.0,433.0,10.0,6.0,3.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.62,2.3,1.58,2.53,1.67,2.3,1.62,2.25,1.74,2.32
4.0,Auckland,ASB Classic,2026-01-13,ATP250,Outdoor,Hard,2nd Round,3,Shelton B.,Comesana F.,6.0,107.0,1036.0,10.0,7.0,5.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.25,4.0,,,1.32,4.0,1.29,3.53,1.32,4.1
4.0,Auckland,ASB Classic,2026-01-14,ATP250,Outdoor,Hard,2nd Round,3,Baez S.,Brooksby J.,28.0,81.0,373.0,30.0,7.0,5.0,6.0,0.0,,,,,,,2.0,0.0,Completed,2.5,1.53,,,2.63,1.6,2.41,1.55,2.5,1.65
4.0,Auckland,ASB Classic,2026-01-14,ATP250,Outdoor,Hard,2nd Round,3,Darderi L.,Tabilo A.,14.0,25.0,774.0,401.0,1.0,6.0,7.0,5.0,6.0,3.0,,,,,2.0,1.0,Completed,2.3,1.62,,,2.43,1.65,2.34,1.59,2.36,1.72
4.0,Auckland,ASB Classic,2026-01-14,ATP250,Outdoor,Hard,2nd Round,3,Spizzirri E.,Borges N.,68.0,64.0,68.0,78.0,7.0,6.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2.1,1.73,,,2.18,1.75,2.08,1.72,2.12,1.85
4.0,Auckland,ASB Classic,2026-01-14,ATP250,Outdoor,Hard,2nd Round,3,Mpetshi G.,Norrie C.,83.0,34.0,26.0,240.0,4.0,6.0,6.0,3.0,7.0,6.0,,,,,2.0,1.0,Completed,2.1,1.73,,,2.12,1.85,2.05,1.74,2.16,1.85
4.0,Auckland,ASB Classic,2026-01-14,ATP250,Outdoor,Hard,2nd Round,3,Marozsan F.,Ruud C.,39.0,32.0,195.0,243.0,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,3,1.4,,,3.0,1.49,2.76,1.44,2.9,1.5
4.0,Auckland,ASB Classic,2026-01-14,ATP250,Outdoor,Hard,2nd Round,3,Mensik J.,Medjedovic H.,17.0,114.0,703.0,10.0,6.0,1.0,3.0,6.0,6.0,3.0,,,,,2.0,1.0,Completed,1.67,2.2,,,1.7,2.3,1.66,2.19,1.71,2.38
4.0,Auckland,ASB Classic,2026-01-14,ATP250,Outdoor,Hard,Quarterfinals,3,Giron M.,Darderi L.,49.0,14.0,150.0,774.0,1.0,6.0,7.0,5.0,6.0,4.0,,,,,2.0,1.0,Completed,1.4,3.0,,,1.44,3.0,1.41,2.84,1.46,3.05
3.0,Adelaide,Adelaide International,2026-01-14,ATP250,Outdoor,Hard,2nd Round,3,Shevchenko A.,Fucsovics M.,67.0,71.0,68.0,55.0,6.0,3.0,7.0,6.0,,,,,,,2.0,0.0,Completed,2.75,1.44,,,2.75,1.53,2.61,1.48,2.62,1.59
3.0,Adelaide,Adelaide International,2026-01-14,ATP250,Outdoor,Hard,2nd Round,3,Davidovich Fokina A.,Hijikata R.,36.0,59.0,220.0,95.0,6.0,3.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.36,3.2,,,1.44,3.2,1.37,3.03,1.43,3.25
3.0,Adelaide,Adelaide International,2026-01-14,ATP250,Outdoor,Hard,2nd Round,3,Vacherot V.,Kokkinakis T.,38.0,133.0,198.0,0.0,,,,,,,,,,,,,Walkover,1.44,2.75,,,1.5,2.88,1.44,2.73,1.46,3.05
3.0,Adelaide,Adelaide International,2026-01-14,ATP250,Outdoor,Hard,2nd Round,3,Vukic A.,Vavassori A.,103.0,141.0,13.0,0.0,6.0,2.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.62,2.3,,,1.63,2.5,1.56,2.39,1.66,2.48
3.0,Adelaide,Adelaide International,2026-01-14,ATP250,Outdoor,Hard,2nd Round,3,Paul T.,Opelka R.,8.0,70.0,961.0,55.0,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.53,2.5,,,1.61,2.5,1.55,2.4,1.59,2.66
3.0,Adelaide,Adelaide International,2026-01-14,ATP250,Outdoor,Hard,2nd Round,3,Machac T.,Halys Q.,23.0,58.0,433.0,95.0,6.0,4.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.57,2.38,,,1.67,2.4,1.58,2.32,1.64,2.52
3.0,Adelaide,Adelaide International,2026-01-14,ATP250,Outdoor,Hard,2nd Round,3,Humbert U.,Griekspoor T.,26.0,30.0,383.0,353.0,6.0,4.0,6.0,1.0,,,,,,,2.0,0.0,Completed,1.53,2.5,,,1.6,2.5,1.53,2.45,1.61,2.58
3.0,Adelaide,Adelaide International,2026-01-14,ATP250,Outdoor,Hard,2nd Round,3,Munar J.,Cerundolo F.,76.0,13.0,43.0,783.0,3.0,6.0,7.0,5.0,6.0,4.0,,,,,2.0,1.0,Completed,1.67,2.2,,,1.67,2.25,1.65,2.2,1.76,2.28
4.0,Auckland,ASB Classic,2026-01-15,ATP250,Outdoor,Hard,Quarterfinals,3,Baez S.,Shelton B.,28.0,6.0,373.0,1036.0,7.0,5.0,6.0,3.0,,,,,,,2.0,0.0,Completed,4.33,1.22,,,4.33,1.25,4.03,1.23,4.5,1.27
3.0,Adelaide,Adelaide International,2026-01-15,ATP250,Outdoor,Hard,Quarterfinals,3,Davidovich Fokina A.,Vacherot V.,36.0,38.0,220.0,198.0,7.0,6.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.53,2.5,,,1.87,2.5,1.55,2.43,1.61,2.6
3.0,Adelaide,Adelaide International,2026-01-15,ATP250,Outdoor,Hard,Quarterfinals,3,Humbert U.,Shevchenko A.,26.0,67.0,383.0,68.0,6.0,0.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.25,4.0,,,1.26,4.2,1.24,3.89,1.29,4.3
3.0,Adelaide,Adelaide International,2026-01-15,ATP250,Outdoor,Hard,Quarterfinals,3,Paul T.,Vukic A.,8.0,103.0,961.0,13.0,6.0,3.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.22,4.33,,,1.29,4.33,1.24,3.97,1.28,4.4
3.0,Adelaide,Adelaide International,2026-01-15,ATP250,Outdoor,Hard,Quarterfinals,3,Machac T.,Munar J.,23.0,76.0,433.0,43.0,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.73,2.1,,,1.91,2.1,1.77,2.01,1.89,2.1
4.0,Auckland,ASB Classic,2026-01-15,ATP250,Outdoor,Hard,Quarterfinals,3,Marozsan F.,Spizzirri E.,39.0,68.0,195.0,68.0,6.0,4.0,2.0,6.0,6.0,2.0,,,,,2.0,1.0,Completed,1.73,2.1,,,1.73,2.18,1.71,2.11,1.79,2.22
4.0,Auckland,ASB Classic,2026-01-15,ATP250,Outdoor,Hard,Quarterfinals,3,Mensik J.,Mpetshi G.,17.0,83.0,703.0,26.0,6.0,4.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.62,2.3,,,1.65,2.3,1.62,2.25,1.69,2.38
3.0,Adelaide,Adelaide International,2026-01-16,ATP250,Outdoor,Hard,Semifinals,3,Humbert U.,Davidovich Fokina A.,26.0,36.0,383.0,220.0,6.0,3.0,5.0,7.0,7.0,6.0,,,,,2.0,1.0,Completed,1.8,2.0,,,1.83,2.05,1.77,2.01,1.85,2.16
4.0,Auckland,ASB Classic,2026-01-16,ATP250,Outdoor,Hard,Semifinals,3,Mensik J.,Marozsan F.,17.0,39.0,703.0,195.0,7.0,6.0,4.0,6.0,6.0,1.0,,,,,2.0,1.0,Completed,1.3,3.5,,,1.33,3.5,1.32,3.3,1.35,3.75
3.0,Adelaide,Adelaide International,2026-01-16,ATP250,Outdoor,Hard,Semifinals,3,Machac T.,Paul T.,23.0,8.0,433.0,961.0,2.0,6.0,6.0,3.0,6.0,3.0,,,,,2.0,1.0,Completed,2.38,1.57,,,2.4,1.63,2.31,1.59,2.48,1.65
4.0,Auckland,ASB Classic,2026-01-16,ATP250,Outdoor,Hard,Semifinals,3,Baez S.,Giron M.,28.0,49.0,373.0,150.0,6.0,1.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2.38,1.57,,,2.6,1.6,2.49,1.52,2.8,1.54
4.0,Auckland,ASB Classic,2026-01-17,ATP250,Outdoor,Hard,The Final,3,Mensik J.,Baez S.,17.0,28.0,703.0,373.0,6.0,3.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.44,2.75,,,1.47,2.8,1.45,2.72,1.47,3.05
3.0,Adelaide,Adelaide International,2026-01-17,ATP250,Outdoor,Hard,The Final,3,Machac T.,Humbert U.,23.0,26.0,433.0,383.0,6.0,4.0,6.0,7.0,6.0,2.0,,,,,2.0,1.0,Completed,2.2,1.67,,,2.25,1.68,2.2,1.66,2.36,1.72
5.0,Melbourne,Australian Open,2026-01-18,Grand Slam,Outdoor,Hard,1st Round,5,Alcaraz C.,Walton A.,1.0,92.0,3665.0,20.0,6.0,3.0,7.0,6.0,6.0,2.0,,,,,3.0,0.0,Completed,1,41.0,,,1.01,41.0,1.01,24.06,1.01,55.0
5.0,Melbourne,Australian Open,2026-01-18,Grand Slam,Outdoor,Hard,1st Round,5,Bublik A.,Brooksby J.,18.0,81.0,658.0,30.0,6.0,4.0,6.0,4.0,6.0,4.0,,,,,3.0,0.0,Completed,1.29,3.75,,,1.29,3.9,1.27,3.73,1.35,3.85
5.0,Melbourne,Australian Open,2026-01-18,Grand Slam,Outdoor,Hard,1st Round,5,Norrie C.,Bonzi B.,34.0,120.0,240.0,10.0,6.0,0.0,6.0,7.0,4.0,6.0,6.0,3.0,6.0,4.0,3.0,2.0,Completed,1.3,3.5,,,1.3,4.0,1.28,3.54,1.32,4.0
5.0,Melbourne,Australian Open,2026-01-18,Grand Slam,Outdoor,Hard,1st Round,5,Hanfmann Y.,Svajda Z.,37.0,113.0,201.0,10.0,7.0,5.0,4.0,6.0,6.0,4.0,7.0,6.0,,,3.0,1.0,Completed,2.3,1.62,,,2.4,1.64,2.31,1.58,2.54,1.64
5.0,Melbourne,Australian Open,2026-01-18,Grand Slam,Outdoor,Hard,1st Round,5,Tiafoe F.,Kubler J.,16.0,167.0,708.0,0.0,7.0,6.0,6.0,3.0,6.0,2.0,,,,,3.0,0.0,Completed,1.29,3.75,,,1.3,4.0,1.29,3.53,1.34,3.85
5.0,Melbourne,Australian Open,2026-01-18,Grand Slam,Outdoor,Hard,1st Round,5,Fucsovics M.,Ugo Carabelli C.,71.0,56.0,55.0,103.0,7.0,6.0,6.0,1.0,6.0,2.0,,,,,3.0,0.0,Completed,1.2,4.5,,,1.23,4.5,1.22,4.19,1.24,4.9
5.0,Melbourne,Australian Open,2026-01-18,Grand Slam,Outdoor,Hard,1st Round,5,Faria J.,Blockx A.,82.0,116.0,30.0,10.0,6.0,3.0,3.0,6.0,6.0,3.0,6.0,4.0,,,3.0,1.0,Completed,2.38,1.57,,,2.65,1.62,2.4,1.55,2.6,1.61
5.0,Melbourne,Australian Open,2026-01-18,Grand Slam,Outdoor,Hard,1st Round,5,Zheng M.,Korda S.,126.0,22.0,10.0,476.0,6.0,4.0,6.0,4.0,3.0,6.0,6.0,7.0,6.0,3.0,3.0,2.0,Completed,3.5,1.3,,,3.8,1.33,3.45,1.3,3.85,1.34
5.0,Melbourne,Australian Open,2026-01-18,Grand Slam,Outdoor,Hard,1st Round,5,Zverev A.,Diallo G.,5.0,75.0,1445.0,45.0,6.0,7.0,6.0,1.0,6.0,4.0,6.0,2.0,,,3.0,1.0,Completed,1.13,6.0,,,1.14,6.5,1.13,5.88,1.16,6.8
5.0,Melbourne,Australian Open,2026-01-18,Grand Slam,Outdoor,Hard,1st Round,5,Nava E.,Jacquet K.,88.0,174.0,23.0,0.0,6.0,2.0,7.0,5.0,6.0,7.0,4.0,6.0,7.0,6.0,3.0,2.0,Completed,1.57,2.38,,,1.64,2.4,1.58,2.32,1.61,2.58
5.0,Melbourne,Australian Open,2026-01-18,Grand Slam,Outdoor,Hard,1st Round,5,Comesana F.,Kypson P.,107.0,146.0,10.0,0.0,6.0,2.0,6.0,3.0,3.0,6.0,6.0,3.0,,,3.0,1.0,Completed,1.57,2.38,,,1.62,2.38,1.59,2.3,1.67,2.46
5.0,Melbourne,Australian Open,2026-01-18,Grand Slam,Outdoor,Hard,1st Round,5,Cerundolo F.,Zhang Zh.,13.0,131.0,783.0,0.0,6.0,3.0,7.0,6.0,6.0,3.0,,,,,3.0,0.0,Completed,1.4,3.0,,,1.43,3.0,1.41,2.83,1.46,3.1
5.0,Melbourne,Australian Open,2026-01-18,Grand Slam,Outdoor,Hard,1st Round,5,Moutet C.,Schoolkate T.,60.0,162.0,93.0,0.0,6.0,4.0,7.0,6.0,6.0,3.0,,,,,3.0,0.0,Completed,1.33,3.4,,,1.36,3.5,1.34,3.22,1.39,3.5
5.0,Melbourne,Australian Open,2026-01-18,Grand Slam,Outdoor,Hard,1st Round,5,Fery A.,Cobolli F.,121.0,15.0,10.0,755.0,7.0,6.0,6.0,4.0,6.0,1.0,,,,,3.0,0.0,Completed,3.2,1.36,,,3.2,1.43,2.89,1.4,3.4,1.4
5.0,Melbourne,Australian Open,2026-01-18,Grand Slam,Outdoor,Hard,1st Round,5,Etcheverry T.,Kecmanovic M.,11.0,50.0,873.0,150.0,6.0,2.0,3.0,6.0,4.0,6.0,6.0,3.0,6.0,4.0,3.0,2.0,Completed,1.73,2.1,,,1.75,2.16,1.71,2.11,1.8,2.24
5.0,Melbourne,Australian Open,2026-01-18,Grand Slam,Outdoor,Hard,1st Round,5,Dzumhur D.,Draxl L.,78.0,177.0,33.0,0.0,7.0,5.0,6.0,0.0,6.0,4.0,,,,,3.0,0.0,Completed,1.73,2.1,,,1.8,2.1,1.74,2.05,1.82,2.18
5.0,Melbourne,Australian Open,2026-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Majchrzak K.,Fearnley J.,66.0,127.0,68.0,10.0,7.0,6.0,7.0,5.0,3.0,6.0,7.0,6.0,,,3.0,1.0,Completed,1.44,2.75,,,1.5,2.88,1.43,2.75,1.5,2.96
5.0,Melbourne,Australian Open,2026-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Cilic M.,Altmaier D.,35.0,105.0,220.0,13.0,6.0,0.0,6.0,0.0,7.0,6.0,,,,,3.0,0.0,Completed,1.5,2.63,,,1.55,2.63,1.52,2.49,1.59,2.62
5.0,Melbourne,Australian Open,2026-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Van De Zandschulp B.,Nakashima B.,47.0,31.0,155.0,323.0,6.0,3.0,4.0,6.0,7.0,6.0,7.0,6.0,,,3.0,1.0,Completed,3.2,1.36,,,3.25,1.4,3.09,1.35,3.45,1.38
5.0,Melbourne,Australian Open,2026-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Maestrelli F.,Atmane T.,124.0,55.0,10.0,105.0,6.0,4.0,3.0,6.0,6.0,7.0,6.0,1.0,6.0,1.0,3.0,2.0,Completed,2.63,1.5,,,2.63,1.53,2.52,1.5,2.66,1.59
5.0,Melbourne,Australian Open,2026-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Munar J.,Svrcina D.,76.0,111.0,43.0,10.0,3.0,6.0,6.0,2.0,6.0,7.0,7.0,5.0,6.0,3.0,3.0,2.0,Completed,1.22,4.33,,,1.25,4.33,1.23,3.98,1.26,4.7
5.0,Melbourne,Australian Open,2026-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Vacherot V.,Damm M.,38.0,63.0,198.0,80.0,6.0,4.0,6.0,4.0,6.0,4.0,,,,,3.0,0.0,Completed,1.44,2.75,,,1.48,2.75,1.46,2.67,1.49,2.96
5.0,Melbourne,Australian Open,2026-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Hijikata R.,Mannarino A.,59.0,40.0,95.0,188.0,6.0,3.0,6.0,3.0,6.0,1.0,,,,,3.0,0.0,Completed,1.57,2.38,,,1.7,2.4,1.6,2.31,1.64,2.52
5.0,Melbourne,Australian Open,2026-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Djokovic N.,Martinez P.,4.0,104.0,1490.0,13.0,6.0,3.0,6.0,2.0,6.0,2.0,,,,,3.0,0.0,Completed,1.02,17.0,,,1.04,17.0,1.03,12.53,1.06,15.0
5.0,Melbourne,Australian Open,2026-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Muller A.,Popyrin A.,85.0,96.0,23.0,13.0,2.0,6.0,6.0,3.0,3.0,6.0,7.0,6.0,7.0,6.0,3.0,2.0,Completed,3.2,1.36,,,3.25,1.41,3.04,1.36,3.3,1.42
5.0,Melbourne,Australian Open,2026-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Ruud C.,Bellucci M.,32.0,90.0,243.0,20.0,6.0,1.0,6.0,2.0,6.0,4.0,,,,,3.0,0.0,Completed,1.17,5.0,,,1.21,5.25,1.19,4.61,1.2,5.5
5.0,Melbourne,Australian Open,2026-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Wawrinka S.,Djere L.,72.0,157.0,55.0,0.0,5.0,7.0,6.0,3.0,6.0,4.0,7.0,6.0,,,3.0,1.0,Completed,1.8,2.0,,,1.85,2.05,1.81,1.96,1.85,2.14
5.0,Melbourne,Australian Open,2026-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Shapovalov D.,Bu Y.,46.0,192.0,165.0,0.0,6.0,3.0,7.0,6.0,6.0,1.0,,,,,3.0,0.0,Completed,1.5,2.63,,,1.52,2.63,1.49,2.57,1.58,2.7
5.0,Melbourne,Australian Open,2026-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Tirante T.A.,Vukic A.,52.0,103.0,110.0,13.0,7.0,5.0,6.0,2.0,6.0,2.0,,,,,3.0,0.0,Completed,2.75,1.44,,,2.95,1.45,2.78,1.43,3.0,1.48
5.0,Melbourne,Australian Open,2026-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Gea A.,Lehecka J.,86.0,12.0,23.0,825.0,7.0,5.0,7.0,6.0,7.0,5.0,,,,,3.0,0.0,Completed,3.4,1.33,,,3.4,1.35,3.26,1.32,3.7,1.36
5.0,Melbourne,Australian Open,2026-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Tien L.,Giron M.,19.0,49.0,593.0,150.0,7.0,6.0,4.0,6.0,3.0,6.0,7.0,6.0,6.0,2.0,3.0,2.0,Completed,1.5,2.63,,,1.55,2.63,1.52,2.49,1.59,2.68
5.0,Melbourne,Australian Open,2026-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Davidovich Fokina A.,Misolic F.,36.0,153.0,220.0,0.0,6.0,2.0,6.0,3.0,6.0,3.0,,,,,3.0,0.0,Completed,1.06,10.0,,,1.08,10.0,1.06,8.94,1.06,14.0
5.0,Melbourne,Australian Open,2026-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Medjedovic H.,Navone M.,114.0,29.0,10.0,368.0,6.0,2.0,6.0,7.0,6.0,4.0,6.0,2.0,,,3.0,1.0,Completed,1.36,3.2,,,1.4,3.2,1.37,3.0,1.44,3.25
5.0,Melbourne,Australian Open,2026-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Borges N.,Auger-Aliassime F.,64.0,9.0,78.0,898.0,3.0,6.0,6.0,4.0,6.0,4.0,0.0,0.0,,,2.0,1.0,Retired,3.75,1.29,,,3.75,1.33,3.61,1.28,4.5,1.27
5.0,Melbourne,Australian Open,2026-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Halys Q.,Tabilo A.,58.0,25.0,95.0,401.0,6.0,2.0,6.0,2.0,7.0,6.0,,,,,3.0,0.0,Completed,1.8,2.0,,,1.85,2.3,1.77,2.03,1.9,2.1
5.0,Melbourne,Australian Open,2026-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Medvedev D.,De Jong J.,3.0,175.0,1963.0,0.0,7.0,5.0,6.0,2.0,7.0,6.0,,,,,3.0,0.0,Completed,1.04,13.0,,,1.06,13.0,1.05,9.88,1.05,17.5
5.0,Melbourne,Australian Open,2026-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Marozsan F.,Rinderknech A.,39.0,73.0,195.0,55.0,6.0,3.0,6.0,4.0,6.0,7.0,6.0,4.0,,,3.0,1.0,Completed,1.8,2.0,,,1.85,2.1,1.81,1.97,1.91,2.06
5.0,Melbourne,Australian Open,2026-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Shevchenko A.,Ymer E.,67.0,151.0,68.0,0.0,3.0,6.0,7.0,5.0,6.0,4.0,6.0,1.0,,,3.0,1.0,Completed,1.44,2.75,,,1.5,2.9,1.44,2.72,1.53,2.84
5.0,Melbourne,Australian Open,2026-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Shang J.,Bautista Agut R.,87.0,91.0,23.0,20.0,6.0,4.0,6.0,7.0,6.0,4.0,6.0,0.0,,,3.0,1.0,Completed,1.3,3.5,,,1.32,3.8,1.29,3.48,1.33,3.9
5.0,Melbourne,Australian Open,2026-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Opelka R.,Budkov Kjaer N.,70.0,149.0,55.0,0.0,6.0,4.0,6.0,3.0,6.0,4.0,,,,,3.0,0.0,Completed,1.53,2.5,,,1.6,2.6,1.55,2.41,1.64,2.52
5.0,Melbourne,Australian Open,2026-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Rublev A.,Arnaldi M.,27.0,201.0,375.0,0.0,6.0,4.0,6.0,2.0,6.0,3.0,,,,,3.0,0.0,Completed,1.22,4.33,,,1.25,4.5,1.24,4.01,1.25,4.7
5.0,Melbourne,Australian Open,2026-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Thompson J.,Cerundolo J.M.,119.0,77.0,10.0,40.0,6.0,7.0,7.0,5.0,6.0,1.0,6.0,1.0,,,3.0,1.0,Completed,1.44,2.75,,,1.45,2.88,1.42,2.79,1.5,2.96
5.0,Melbourne,Australian Open,2026-01-19,Grand Slam,Outdoor,Hard,1st Round,5,De Minaur A.,McDonald M.,7.0,112.0,1010.0,10.0,6.0,2.0,6.0,2.0,6.0,3.0,,,,,3.0,0.0,Completed,1.05,11.0,,,1.06,11.0,1.05,10.02,1.04,21.0
5.0,Melbourne,Australian Open,2026-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Paul T.,Kovacevic A.,8.0,53.0,961.0,105.0,6.0,4.0,6.0,3.0,6.0,3.0,,,,,3.0,0.0,Completed,1.17,5.0,,,1.2,5.75,1.17,4.81,1.2,5.5
5.0,Melbourne,Australian Open,2026-01-20,Grand Slam,Outdoor,Hard,1st Round,5,Sweeny D.,Monfils G.,122.0,89.0,10.0,20.0,6.0,7.0,7.0,5.0,6.0,4.0,7.0,5.0,,,3.0,1.0,Completed,2.38,1.57,,,2.5,1.57,2.41,1.54,2.62,1.6
5.0,Melbourne,Australian Open,2026-01-20,Grand Slam,Outdoor,Hard,1st Round,5,Tsitsipas S.,Mochizuki S.,69.0,171.0,65.0,0.0,4.0,6.0,6.0,3.0,6.0,2.0,6.0,2.0,,,3.0,1.0,Completed,1.11,6.5,,,1.15,7.0,1.12,5.96,1.14,7.6
5.0,Melbourne,Australian Open,2026-01-20,Grand Slam,Outdoor,Hard,1st Round,5,Machac T.,Dimitrov G.,23.0,115.0,433.0,10.0,6.0,4.0,6.0,4.0,6.0,3.0,,,,,3.0,0.0,Completed,1.73,2.1,,,1.73,2.2,1.68,2.14,1.76,2.26
5.0,Melbourne,Australian Open,2026-01-20,Grand Slam,Outdoor,Hard,1st Round,5,Sinner J.,Gaston H.,2.0,195.0,3590.0,0.0,6.0,2.0,6.0,1.0,,,,,,,2.0,0.0,Retired,1,51.0,,,1.01,51.0,1.01,26.85,1.01,90.0
5.0,Melbourne,Australian Open,2026-01-20,Grand Slam,Outdoor,Hard,1st Round,5,Kopriva V.,Struff J.L.,48.0,147.0,153.0,0.0,4.0,6.0,6.0,2.0,2.0,6.0,6.0,3.0,6.0,1.0,3.0,2.0,Completed,3,1.4,,,3.0,1.44,2.83,1.41,2.98,1.48
5.0,Melbourne,Australian Open,2026-01-20,Grand Slam,Outdoor,Hard,1st Round,5,Fritz T.,Royer V.,20.0,148.0,588.0,0.0,7.0,6.0,5.0,7.0,6.0,1.0,6.0,3.0,,,3.0,1.0,Completed,1.11,6.5,,,1.14,7.0,1.12,6.24,1.15,7.2
5.0,Melbourne,Australian Open,2026-01-20,Grand Slam,Outdoor,Hard,1st Round,5,Duckworth J.,Prizmic D.,128.0,106.0,10.0,10.0,7.0,6.0,3.0,6.0,1.0,6.0,7.0,5.0,6.0,3.0,3.0,2.0,Completed,2.1,1.73,,,2.13,1.75,2.07,1.73,2.16,1.84
5.0,Melbourne,Australian Open,2026-01-20,Grand Slam,Outdoor,Hard,1st Round,5,Hurkacz H.,Bergs Z.,94.0,79.0,20.0,30.0,6.0,7.0,7.0,6.0,6.0,3.0,6.0,3.0,,,3.0,1.0,Completed,1.36,3.2,,,1.4,3.25,1.37,3.02,1.41,3.35
5.0,Melbourne,Australian Open,2026-01-20,Grand Slam,Outdoor,Hard,1st Round,5,Jodar R.,Sakamoto R.,24.0,123.0,403.0,10.0,7.0,6.0,6.0,1.0,5.0,7.0,4.0,6.0,6.0,3.0,3.0,2.0,Completed,1.33,3.4,,,1.42,3.4,1.37,3.04,1.44,3.2
5.0,Melbourne,Australian Open,2026-01-20,Grand Slam,Outdoor,Hard,1st Round,5,Wu Y.,Nardi L.,80.0,102.0,30.0,13.0,7.0,5.0,4.0,6.0,6.0,4.0,6.0,2.0,,,3.0,1.0,Completed,1.25,4.0,,,1.3,4.5,1.24,3.97,1.28,4.3
5.0,Melbourne,Australian Open,2026-01-20,Grand Slam,Outdoor,Hard,1st Round,5,Basavareddy N.,O Connell C.,108.0,95.0,10.0,20.0,4.0,6.0,7.0,6.0,6.0,7.0,6.0,2.0,6.0,3.0,3.0,2.0,Completed,1.62,2.3,,,1.7,2.32,1.62,2.25,1.64,2.5
5.0,Melbourne,Australian Open,2026-01-20,Grand Slam,Outdoor,Hard,1st Round,5,Shelton B.,Humbert U.,6.0,26.0,1036.0,383.0,6.0,3.0,7.0,6.0,7.0,6.0,,,,,3.0,0.0,Completed,1.57,2.38,,,1.62,2.43,1.57,2.34,1.66,2.48
5.0,Melbourne,Australian Open,2026-01-20,Grand Slam,Outdoor,Hard,1st Round,5,Spizzirri E.,Fonseca J.,68.0,54.0,68.0,105.0,6.0,4.0,2.0,6.0,6.0,1.0,6.0,2.0,,,3.0,1.0,Completed,2.63,1.5,,,2.63,1.55,2.48,1.53,2.52,1.64
