ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,BFEW,BFEL
2.0,Hong Kong,Hong Kong Tennis Open,2026-01-06,ATP250,Outdoor,Hard,1st Round,3,Giron M.,Djere L.,49.0,157.0,150.0,0.0,6.0,2.0,6.0,0.0,,,,,,,2.0,0.0,Completed,1.67,2.2,1.73,2.22,1.73,2.2,1.69,2.11,1.72,2.32
1.0,Brisbane,Brisbane International,2026-01-06,ATP250,Outdoor,Hard,1st Round,3,Dimitrov G.,Carreno Busta P.,115.0,132.0,10.0,0.0,6.0,3.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.44,2.75,1.51,2.74,1.55,2.8,1.47,2.67,1.52,2.9
1.0,Brisbane,Brisbane International,2026-01-06,ATP250,Outdoor,Hard,1st Round,3,Hijikata R.,Walton A.,59.0,92.0,95.0,20.0,6.0,3.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.73,2.1,1.79,2.13,1.76,2.1,1.73,2.08,1.8,2.22
1.0,Brisbane,Brisbane International,2026-01-06,ATP250,Outdoor,Hard,1st Round,3,Norrie C.,Humbert U.,34.0,26.0,240.0,383.0,1.0,6.0,7.0,6.0,7.0,5.0,,,,,2.0,1.0,Completed,2.2,1.67,2.21,1.74,2.2,1.8,2.1,1.72,2.3,1.75
1.0,Brisbane,Brisbane International,2026-01-06,ATP250,Outdoor,Hard,1st Round,3,Kovacevic A.,Kyrgios N.,53.0,186.0,105.0,0.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.62,2.3,1.6,2.47,1.65,2.5,1.6,2.29,1.59,2.66
1.0,Brisbane,Brisbane International,2026-01-06,ATP250,Outdoor,Hard,1st Round,3,Mpetshi G.,Paul T.,83.0,8.0,26.0,961.0,7.0,6.0,3.0,6.0,7.0,6.0,,,,,2.0,1.0,Completed,2.75,1.44,2.73,1.51,2.75,1.55,2.64,1.47,2.84,1.52
1.0,Brisbane,Brisbane International,2026-01-06,ATP250,Outdoor,Hard,1st Round,3,Nakashima B.,Davidovich Fokina A.,31.0,36.0,323.0,220.0,7.0,6.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2.5,1.53,2.4,1.63,2.5,1.65,2.35,1.57,2.48,1.66
1.0,Brisbane,Brisbane International,2026-01-06,ATP250,Outdoor,Hard,1st Round,3,Collignon R.,Shapovalov D.,74.0,46.0,48.0,165.0,6.0,4.0,6.0,2.0,,,,,,,2.0,0.0,Completed,2.1,1.73,2.03,1.86,2.2,1.78,2.06,1.74,2.14,1.86
2.0,Hong Kong,Hong Kong Tennis Open,2026-01-06,ATP250,Outdoor,Hard,1st Round,3,Shang J.,Comesana F.,87.0,107.0,23.0,10.0,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.5,2.63,1.55,2.61,1.6,2.63,1.5,2.53,1.55,2.78
2.0,Hong Kong,Hong Kong Tennis Open,2026-01-07,ATP250,Outdoor,Hard,2nd Round,3,Wong C.,Diallo G.,84.0,75.0,26.0,45.0,1.0,6.0,7.0,5.0,7.0,5.0,,,,,2.0,1.0,Completed,2.75,1.44,,,2.95,1.5,2.65,1.46,2.88,1.51
