bet_no,Date,P1,P2,pick_side,pick_odds,model_conf,pick_ev,pick_correct,stake_frac,stake_units,pnl_units,bankroll_before,bankroll_after,drawdown_pct
41,2025-03-23,Monfils G.,Munar J.,P1,1.515,0.7088326793837224,0.0738815092663394,1,0.03,31.337929441015994,16.139033662123236,1044.5976480338666,1060.7366816959898,4.4563095000000175
42,2025-03-25,Djokovic N.,Musetti L.,P1,1.3250000000000002,0.7963471241107052,0.055159939446684514,1,0.03,31.82210045087969,10.342182646535905,1060.7366816959898,1071.0788643425258,3.524758517625008
43,2025-04-01,Gaston H.,Cerundolo J.M.,P1,2.02,0.584301462623537,0.18028895449954474,1,0.03,32.132365930275775,32.775013248881294,1071.0788643425258,1103.8538775914071,0.5726161282643278
44,2025-04-01,Hanfmann Y.,Mannarino A.,P1,1.47,0.7273116545050343,0.06914813212240045,0,0.03,33.11561632774221,-33.11561632774221,1103.8538775914071,1070.738261263665,3.5554376444163918
45,2025-04-01,Coria F.,Herbert P.,P1,1.5675000000000001,0.7261749092502011,0.13827917024969033,0,0.03,32.12214783790995,-32.12214783790995,1070.738261263665,1038.616113425755,6.448774515083905
46,2025-04-01,Dzumhur D.,Vacherot V.,P1,1.6324999999999998,0.7348284914643892,0.1996075123156153,1,0.03,31.15848340277265,19.707740752253695,1038.616113425755,1058.3238541780086,4.673640011507633
47,2025-04-01,Michelsen A.,Tien L.,P1,1.98,0.5799578297842377,0.14831650297279064,1,0.03,31.749715625340254,31.11472131283345,1058.3238541780086,1089.438575490842,1.871045027845966
48,2025-04-06,Struff J.L.,Vacherot V.,P1,1.4675,0.7403603805362793,0.08647885843698988,0,0.03,32.68315726472525,-32.68315726472525,1089.438575490842,1056.7554182261167,4.814913677010582
49,2025-04-07,Muller A.,Ugo Carabelli C.,P1,1.9675,0.5537185642552575,0.089441275172219,1,0.023111440612976514,24.423140090774055,23.629388037823897,1056.7554182261167,1080.3848062639406,2.6865448024840997
50,2025-04-08,Etcheverry T.,Moutet C.,P1,1.715,0.6631021181529689,0.13722013263234178,1,0.03,32.41154418791822,23.174254094361526,1080.3848062639406,1103.559060358302,0.5991711884973897
51,2025-04-08,Cobolli F.,Lajovic D.,P1,1.8675000000000002,0.5760049031908209,0.07568915670885806,1,0.021812437091889913,24.071312581250606,20.881863664234903,1103.559060358302,1124.440924022537,0.0
52,2025-04-11,Tsitsipas S.,Musetti L.,P1,1.7650000000000001,0.6195316741345906,0.09347340484755257,0,0.03,33.73322772067611,-33.73322772067611,1124.440924022537,1090.707696301861,2.999999999999994
53,2025-04-17,Rublev A.,Davidovich Fokina A.,P1,1.8625,0.598838429546944,0.11533657503118322,0,0.03,32.72123088905583,-32.72123088905583,1090.707696301861,1057.9864654128053,5.909999999999985
54,2025-04-17,Khachanov K.,Munar J.,P1,1.7125,0.6434148736709273,0.10184797116146299,1,0.03,31.739593962384156,22.61446069819871,1057.9864654128053,1080.600926111004,3.898826249999993
55,2025-04-23,Monfils G.,Gojo B.,P1,1.6300000000000001,0.678311761045397,0.10564817050399722,1,0.03,32.41802778333012,20.42335750349798,1080.600926111004,1101.0242836145019,2.0825140661249915
56,2025-04-23,Gaston H.,Ofner S.,P1,1.6325,0.6663442437139828,0.08780697786307701,0,0.03,33.030728508435054,-33.030728508435054,1101.0242836145019,1067.9935551060669,5.020038644141237
57,2025-04-24,Giron M.,Tien L.,P1,1.78,0.6303313264501557,0.12198976108127707,1,0.03,32.039806653182005,24.991049189481966,1067.9935551060669,1092.984604295549,2.797507548414134
58,2025-04-24,Norrie C.,Landaluce M.,P1,1.3125,0.8098916417084064,0.06298277974228345,1,0.03,32.78953812886647,10.246730665270771,1092.984604295549,1103.2313349608196,1.8862341816805264
59,2025-04-24,Fearnley J.,Bu Y.,P1,1.835,0.6178429294964028,0.13374177562589917,1,0.03,33.096940048824585,27.63594494076853,1103.2313349608196,1130.867279901588,0.0
60,2025-04-24,Dzumhur D.,Bellucci M.,P1,1.895,0.5687010402341479,0.07768847124371026,1,0.021700690291539176,24.54060060197971,21.963837538771838,1130.867279901588,1152.83111744036,0.0
61,2025-04-24,Etcheverry T.,Medjedovic H.,P1,2.3225,0.578080288552014,0.3425914701620524,1,0.03,34.5849335232108,45.738574584446276,1152.83111744036,1198.5696920248063,0.0
