bin_left,bin_right,count,avg_pred,actual_rate,diff
0.0,0.05,0,,,
0.05,0.1,0,,,
0.1,0.15000000000000002,0,,,
0.15000000000000002,0.2,0,,,
0.2,0.25,0,,,
0.25,0.30000000000000004,1,0.26579124042319374,1.0,0.7342087595768063
0.30000000000000004,0.35000000000000003,31,0.32915916273989343,0.2903225806451613,-0.03883658209473212
0.35000000000000003,0.4,50,0.3808270549241731,0.24,-0.14082705492417313
0.4,0.45,121,0.425065102105469,0.371900826446281,-0.05316427565918802
0.45,0.5,207,0.47831399663607127,0.4830917874396135,0.004777790803542237
0.5,0.55,435,0.5256858910269597,0.4896551724137931,-0.036030718613166646
0.55,0.6000000000000001,506,0.5758400090310075,0.5928853754940712,0.01704536646306365
0.6000000000000001,0.65,487,0.6256142115763861,0.6509240246406571,0.025309813064271047
0.65,0.7000000000000001,484,0.6760735854306663,0.6880165289256198,0.011942943494953506
0.7000000000000001,0.75,464,0.7243616745355653,0.7176724137931034,-0.0066892607424619
0.75,0.8,382,0.7720336111735795,0.774869109947644,0.0028354987740645266
0.8,0.8500000000000001,196,0.8232880165438303,0.8673469387755102,0.04405892223167984
0.8500000000000001,0.9,96,0.8721940771440986,0.9270833333333334,0.05488925618923479
0.9,0.9500000000000001,76,0.9187988060354381,0.9736842105263158,0.054885404490877754
0.9500000000000001,1.0,1,0.9797092797284345,1.0,0.020290720271565532
