profile,n_last,min_year,train_seasons,valid_seasons,test_seasons,n_features,calib_used,test_logloss,test_ece,best_value_threshold,best_value_roi_pct,best_value_bets,best_bank_threshold,best_bank_roi_pct,best_bank_dd_pct,best_bank_final
rolling_only,35,1975,1992-2018,2019-2022,2023-2026,15,raw,0.6473,0.00441,0.55,-0.32,3336,0.71,0.0,0.0,1000.0
rolling_only,35,1968,1992-2018,2019-2022,2023-2026,15,raw,0.6473,0.00441,0.55,-0.32,3336,0.71,0.0,0.0,1000.0
rolling_only,37,1990,1990-2018,2019-2022,2023-2026,15,raw,0.64738,0.00429,0.55,-0.4,3332,0.71,0.0,0.0,1000.0
rolling_only,37,1990,1990-2018,2019-2022,2023-2026,15,raw,0.64738,0.00429,0.55,-0.4,3332,0.71,0.0,0.0,1000.0
rolling_only,37,1990,1990-2018,2019-2022,2023-2026,15,raw,0.64738,0.00429,0.55,-0.4,3332,0.71,0.0,0.0,1000.0
full,35,1985,1992-2018,2019-2022,2023-2026,25,raw,0.59035,0.01598,0.72,0.33,68,0.72,-0.54,14.28,994.62
rolling_plus_odds,24,1990,2003-2022,2023-2024,2025-2026,19,raw,0.59632,0.04377,0.57,-4.85,67,0.74,-7.58,14.94,924.22
rolling_plus_odds,24,1975,2003-2022,2023-2024,2025-2026,19,raw,0.59632,0.04377,0.57,-4.85,67,0.74,-7.58,14.94,924.22
rolling_plus_odds,24,1975,2003-2022,2023-2024,2025-2026,19,raw,0.59632,0.04377,0.57,-4.85,67,0.74,-7.58,14.94,924.22
core_plus_odds,35,1985,1992-2018,2019-2022,2023-2026,10,raw,0.59032,0.01818,0.56,-0.93,229,0.74,-8.41,16.57,915.86
full,24,1995,2003-2022,2023-2024,2025-2026,25,isotonic,0.60688,0.04831,0.71,-2.48,133,0.71,-11.02,21.25,889.83
full,24,1990,2003-2022,2023-2024,2025-2026,25,isotonic,0.60688,0.04831,0.71,-2.48,133,0.71,-11.02,21.25,889.83
no_odds,32,1995,1995-2020,2021-2023,2024-2026,21,isotonic,0.62591,0.01798,0.65,-1.3,664,0.75,-11.37,40.76,886.29
core_plus_odds,16,1990,2011-2023,2024-2024,2025-2026,10,raw,0.59946,0.0439,0.57,-24.96,50,0.73,-11.52,11.52,884.83
core_plus_rolling,27,1975,2000-2020,2021-2023,2024-2026,21,isotonic,0.63689,0.02059,0.66,-1.14,574,0.75,-15.67,38.62,843.29
no_odds,27,2000,2000-2020,2021-2023,2024-2026,21,isotonic,0.63689,0.02059,0.66,-1.14,574,0.75,-15.67,38.62,843.29
core_plus_rolling,27,2000,2000-2020,2021-2023,2024-2026,21,isotonic,0.63689,0.02059,0.66,-1.14,574,0.75,-15.67,38.62,843.29
no_odds,27,2000,2000-2020,2021-2023,2024-2026,21,isotonic,0.63689,0.02059,0.66,-1.14,574,0.75,-15.67,38.62,843.29
core_plus_rolling,27,1990,2000-2020,2021-2023,2024-2026,21,isotonic,0.63689,0.02059,0.66,-1.14,574,0.75,-15.67,38.62,843.29
core_plus_odds,40,1985,1987-2018,2019-2022,2023-2026,10,raw,0.5904,0.01969,0.72,-5.31,106,0.72,-17.28,24.05,827.19
core_plus_odds,40,1975,1987-2018,2019-2022,2023-2026,10,raw,0.5904,0.01969,0.72,-5.31,106,0.72,-17.28,24.05,827.19
core_only,30,1975,1997-2020,2021-2023,2024-2026,6,isotonic,0.63176,0.01818,0.75,-0.99,330,0.75,-17.3,50.81,827.02
core_only,30,1985,1997-2020,2021-2023,2024-2026,6,isotonic,0.63176,0.01818,0.75,-0.99,330,0.75,-17.3,50.81,827.02
core_only,27,1990,2000-2020,2021-2023,2024-2026,6,isotonic,0.62625,0.01835,0.7,-0.56,422,0.7,-17.62,60.97,823.76
core_only,27,1990,2000-2020,2021-2023,2024-2026,6,isotonic,0.62625,0.01835,0.7,-0.56,422,0.7,-17.62,60.97,823.76
rolling_plus_odds,20,1968,2007-2022,2023-2024,2025-2026,19,isotonic,0.65578,0.04464,0.66,-6.65,121,0.66,-23.15,36.37,768.46
rolling_plus_odds,20,1968,2007-2022,2023-2024,2025-2026,19,isotonic,0.65578,0.04464,0.66,-6.65,121,0.66,-23.15,36.37,768.46
rolling_plus_odds,20,1990,2007-2022,2023-2024,2025-2026,19,isotonic,0.65578,0.04464,0.66,-6.65,121,0.66,-23.15,36.37,768.46
no_odds,30,1990,1997-2020,2021-2023,2024-2026,21,isotonic,0.63053,0.02151,0.55,-1.54,1680,0.75,-26.26,42.99,737.36
no_odds,30,1990,1997-2020,2021-2023,2024-2026,21,isotonic,0.63053,0.02151,0.55,-1.54,1680,0.75,-26.26,42.99,737.36
core_plus_rolling,30,1995,1997-2020,2021-2023,2024-2026,21,isotonic,0.63053,0.02151,0.55,-1.54,1680,0.75,-26.26,42.99,737.36
rolling_plus_odds,16,1995,2011-2023,2024-2024,2025-2026,19,isotonic,0.6385,0.04367,0.63,-10.37,154,0.75,-30.63,35.11,693.68
rolling_plus_odds,16,1968,2011-2023,2024-2024,2025-2026,19,isotonic,0.6385,0.04367,0.63,-10.37,154,0.75,-30.63,35.11,693.68
rolling_plus_odds,16,1995,2011-2023,2024-2024,2025-2026,19,isotonic,0.6385,0.04367,0.63,-10.37,154,0.75,-30.63,35.11,693.68
core_only,50,1968,1977-2016,2017-2021,2022-2026,6,isotonic,0.63891,0.02964,0.55,-1.0,2855,0.75,-37.57,71.11,624.25
core_plus_rolling,59,1968,1968-2014,2015-2020,2021-2026,21,isotonic,0.63838,0.02354,0.7,-1.6,1294,0.75,-49.47,80.86,505.33
core_only,35,1980,1992-2018,2019-2022,2023-2026,6,raw,0.63021,0.02585,0.55,-5.14,2300,0.75,-66.99,80.74,330.11
core_only,35,1990,1992-2018,2019-2022,2023-2026,6,raw,0.63021,0.02585,0.55,-5.14,2300,0.75,-66.99,80.74,330.11
core_only,35,1975,1992-2018,2019-2022,2023-2026,6,raw,0.63021,0.02585,0.55,-5.14,2300,0.75,-66.99,80.74,330.11
core_plus_rolling,37,1990,1990-2018,2019-2022,2023-2026,21,raw,0.62972,0.01392,0.56,-4.15,2364,0.75,-67.23,82.49,327.73
core_only,37,1990,1990-2018,2019-2022,2023-2026,6,raw,0.63039,0.02508,0.55,-4.88,2331,0.75,-69.82,81.86,301.77
core_only,37,1990,1990-2018,2019-2022,2023-2026,6,raw,0.63039,0.02508,0.55,-4.88,2331,0.75,-69.82,81.86,301.77
core_only,42,1985,1985-2018,2019-2022,2023-2026,6,raw,0.63319,0.02615,0.55,-4.37,2495,0.75,-70.91,84.53,290.91
core_plus_rolling,40,1975,1987-2018,2019-2022,2023-2026,21,raw,0.63048,0.01676,0.56,-4.28,2377,0.75,-75.35,87.72,246.46
core_plus_rolling,40,1980,1987-2018,2019-2022,2023-2026,21,raw,0.63048,0.01676,0.56,-4.28,2377,0.75,-75.35,87.72,246.46
no_odds,40,1985,1987-2018,2019-2022,2023-2026,21,raw,0.63048,0.01676,0.56,-4.28,2377,0.75,-75.35,87.72,246.46
no_odds,50,1975,1977-2016,2017-2021,2022-2026,21,raw,0.63319,0.01865,0.55,-3.37,3338,0.74,-80.36,92.49,196.36
