Feature_Clean,LightGBM,XGBoost,CatBoost,Mean,Std,Original_Feature
MASSEY_diff,392,0.006038817,1.2967274009340184,0.015730436087318875,0.01132881534283206,MASSEY_diff
BARS_kurtosis_diff,377,0.0031625612,1.5002930401104928,0.015090730932535108,0.01197231144467137,BARS_kurtosis_diff
SIAM_16D_emb_diff_0,295,0.003170241,1.33842342221255,0.012588429681814913,0.009046576553766726,SIAM_16D_emb_diff_0
PL_ordinal_diff,120,0.019732017,0.8561308034737222,0.012307150933694047,0.006430209489118713,PL_ordinal_diff
BTP_ordinal_diff,0,0.024057012,1.0836589930893754,0.01163120066074589,0.012048174628076393,BTP_ordinal_diff
BARS_FAST_surprise_diff,195,0.0030126758,1.7414996355149233,0.011482793217866388,0.0075291079221451035,BARS_FAST_surprise_diff
SIAM_16D_emb_diff_9,257,0.002896297,1.2204873735392423,0.011193248080947642,0.007840240733195782,SIAM_16D_emb_diff_9
SIAM_8D_emb_diff_5,237,0.003008433,1.2564363438896213,0.010871116186076104,0.007167664024878089,SIAM_8D_emb_diff_5
BTF_ordinal_diff,6,0.023041617,0.8854334961210489,0.010775786157099246,0.011426915089192718,BTF_ordinal_diff
BARS_FAST_p_draw,136,0.004540665,1.6016801288373526,0.010112003695339445,0.005745330430956139,BARS_FAST_p_draw
mELO_8D_p_home_win,98,0.017030222,0.6103989799775876,0.010060172142165855,0.006054600645994969,mELO_8D_p_home_win
mELO_4D_rating_diff,58,0.018707192,0.7238089571296344,0.010038514287587693,0.00766239951465384,mELO_4D_rating_diff
mELO_2D_rating_diff,14,0.015497651,1.2538753544693457,0.009681006464580342,0.007656537745909988,mELO_2D_rating_diff
SIAM_16D_emb_diff_8,295,0.0028270062,0.4310251536965845,0.009449357205454046,0.010212683401020023,SIAM_16D_emb_diff_8
BARS_SLOW_p_home_win,14,0.018092979,0.9239129123334698,0.009446240922311373,0.008545064590615737,BARS_SLOW_p_home_win
mELO_8D_rating_diff,9,0.020220045,0.6455925557524808,0.009107693378353755,0.010052305939476267,mELO_8D_rating_diff
SIAM_16D_emb_diff_11,289,0.0027855732,0.21576938814564128,0.008574224888169358,0.010574659366182291,SIAM_16D_emb_diff_11
ED_AUTO_draw_tendency,213,0.002846177,0.7255424990338091,0.008472176206713374,0.006322799408689139,ED_AUTO_draw_tendency
mELO_4D_p_home_win,19,0.017478622,0.6457989706003254,0.008434244140236857,0.008236040832986756,mELO_4D_p_home_win
mELO_8D_c_norm_diff,282,0.0028386803,0.2037054916351943,0.008383945096818767,0.010306704785191778,mELO_8D_c_norm_diff
mELO_4D_c_norm_diff,203,0.0029567133,0.7578780909479143,0.008377136748666117,0.0058605280412686745,mELO_4D_c_norm_diff
momentum_MASSEY,67,0.0061162305,1.3826476621916193,0.008253359475153776,0.004869957377645553,momentum_MASSEY
SIAM_16D_emb_diff_5,236,0.0027817714,0.46718211815396815,0.008140747891272138,0.007703374511194686,SIAM_16D_emb_diff_5
BARS_p_home_win,14,0.010271451,1.3110167387876173,0.008129411240586614,0.006329711515418382,BARS_p_home_win
mELO_2D_p_home_win,33,0.016362848,0.5480257830358451,0.008071946902385961,0.007346322354170348,mELO_2D_p_home_win
BARS_p_draw,122,0.0046554296,1.050690873185125,0.007978089394719666,0.003005426574961128,BARS_p_draw
LM_wr_diff,107,0.006393119,0.9254311009558055,0.007780281366408122,0.0014325725379071245,LM_wr_diff
LM_gpg_diff,172,0.0039975755,0.6902902182939005,0.0077558202353182224,0.0042493937855154745,LM_gpg_diff
BARS_SLOW_ordinal_diff,71,0.008233285,0.9421698727991602,0.007586652953119038,0.002229826021118598,BARS_SLOW_ordinal_diff
RLHF_DEEP_percentile_diff,181,0.0043583238,0.5156288186097256,0.007509568183757751,0.004783725396090849,RLHF_DEEP_percentile_diff
COLLEY_diff,172,0.003157677,0.5804020552842651,0.00710956016009063,0.00474142964967776,COLLEY_diff
SIAM_16D_emb_diff_6,204,0.002934098,0.37143028889409846,0.007105405994505519,0.006560847965342131,SIAM_16D_emb_diff_6
ED_HOME_p_draw,83,0.0032373006,1.202736281660017,0.007077483897431708,0.004498873953835243,ED_HOME_p_draw
BARS_skew_diff,137,0.0032656237,0.7490208642170016,0.006868759376834663,0.0033361084910953818,BARS_skew_diff
mELO_4D_intrans,186,0.002784304,0.4250108999481847,0.00680267033890426,0.005737592095802328,mELO_4D_intrans
BARS_SLOW_surprise_diff,107,0.003211467,0.9419502029774866,0.00677479431783061,0.003204344073864208,BARS_SLOW_surprise_diff
ED_AUTO_expected_score_diff,8,0.013922824,0.5580047714357264,0.0066926932734878986,0.0067430106173513625,ED_AUTO_expected_score_diff
