query_name,matched,player_name,player_slug,section,directory_matches,source_url,season
Albot R.,True,Radu Albot,RaduAlbot,active_men,24.0,https://www.tennisabstract.com/charting/RaduAlbot.html,2020
Alcaraz C.,True,Carlos Alcaraz,CarlosAlcaraz,active_men,263.0,https://www.tennisabstract.com/charting/CarlosAlcaraz.html,2020
Altmaier D.,True,Daniel Altmaier,DanielAltmaier,active_men,24.0,https://www.tennisabstract.com/charting/DanielAltmaier.html,2020
Anderson K.,True,Kevin Anderson,KevinAnderson,retired_men,51.0,https://www.tennisabstract.com/charting/KevinAnderson.html,2020
Andreev A.,True,Adrian Andreev,AdrianAndreev,active_men,5.0,https://www.tennisabstract.com/charting/AdrianAndreev.html,2020
Andujar P.,True,Pablo Andujar,PabloAndujar,retired_men,19.0,https://www.tennisabstract.com/charting/PabloAndujar.html,2020
Auger-Aliassime F.,True,Felix Auger Aliassime,FelixAugerAliassime,active_men,144.0,https://www.tennisabstract.com/charting/FelixAugerAliassime.html,2020
Bagnis F.,True,Facundo Bagnis,FacundoBagnis,active_men,11.0,https://www.tennisabstract.com/charting/FacundoBagnis.html,2020
Balazs A.,True,Attila Balazs,AttilaBalazs,retired_men,8.0,https://www.tennisabstract.com/charting/AttilaBalazs.html,2020
Barrere G.,True,Gregoire Barrere,GregoireBarrere,active_men,19.0,https://www.tennisabstract.com/charting/GregoireBarrere.html,2020
Barrios Vera M.T.,False,,,,,,2020
Basilashvili N.,True,Nikoloz Basilashvili,NikolozBasilashvili,active_men,51.0,https://www.tennisabstract.com/charting/NikolozBasilashvili.html,2020
Bautista Agut R.,True,Roberto Bautista Agut,RobertoBautistaAgut,active_men,105.0,https://www.tennisabstract.com/charting/RobertoBautistaAgut.html,2020
Bedene A.,True,Aljaz Bedene,AljazBedene,retired_men,37.0,https://www.tennisabstract.com/charting/AljazBedene.html,2020
Benchetrit E.,True,Elliot Benchetrit,ElliotBenchetrit,active_men,4.0,https://www.tennisabstract.com/charting/ElliotBenchetrit.html,2020
Berankis R.,True,Ricardas Berankis,RicardasBerankis,active_men,14.0,https://www.tennisabstract.com/charting/RicardasBerankis.html,2020
Bergs Z.,True,Zizou Bergs,ZizouBergs,active_men,19.0,https://www.tennisabstract.com/charting/ZizouBergs.html,2020
Berrettini M.,True,Matteo Berrettini,MatteoBerrettini,active_men,126.0,https://www.tennisabstract.com/charting/MatteoBerrettini.html,2020
Blanch U.,False,,,,,,2020
Bolt A.,True,Alex Bolt,AlexBolt,active_men,4.0,https://www.tennisabstract.com/charting/AlexBolt.html,2020
Bonzi B.,True,Benjamin Bonzi,BenjaminBonzi,active_men,14.0,https://www.tennisabstract.com/charting/BenjaminBonzi.html,2020
Broady L.,True,Liam Broady,LiamBroady,active_men,4.0,https://www.tennisabstract.com/charting/LiamBroady.html,2020
Bublik A.,True,Alexander Bublik,AlexanderBublik,active_men,108.0,https://www.tennisabstract.com/charting/AlexanderBublik.html,2020
Cachin P.,True,Pedro Cachin,PedroCachin,active_men,10.0,https://www.tennisabstract.com/charting/PedroCachin.html,2020
Carballes Baena R.,True,Roberto Carballes Baena,RobertoCarballesBaena,active_men,30.0,https://www.tennisabstract.com/charting/RobertoCarballesBaena.html,2020
Carreno Busta P.,True,Pablo Carreno Busta,PabloCarrenoBusta,active_men,72.0,https://www.tennisabstract.com/charting/PabloCarrenoBusta.html,2020
Caruso S.,True,Salvatore Caruso,SalvatoreCaruso,retired_men,5.0,https://www.tennisabstract.com/charting/SalvatoreCaruso.html,2020
Cecchinato M.,True,Marco Cecchinato,MarcoCecchinato,active_men,30.0,https://www.tennisabstract.com/charting/MarcoCecchinato.html,2020
Cerundolo F.,True,Francisco Cerundolo,FranciscoCerundolo,active_men,58.0,https://www.tennisabstract.com/charting/FranciscoCerundolo.html,2020
Chardy J.,True,Jeremy Chardy,JeremyChardy,retired_men,29.0,https://www.tennisabstract.com/charting/JeremyChardy.html,2020
Cilic M.,True,Marin Cilic,MarinCilic,active_men,119.0,https://www.tennisabstract.com/charting/MarinCilic.html,2020
Coppejans K.,True,Kimmer Coppejans,KimmerCoppejans,active_men,4.0,https://www.tennisabstract.com/charting/KimmerCoppejans.html,2020
Coria F.,True,Federico Coria,FedericoCoria,active_men,14.0,https://www.tennisabstract.com/charting/FedericoCoria.html,2020
Coric B.,True,Borna Coric,BornaCoric,active_men,76.0,https://www.tennisabstract.com/charting/BornaCoric.html,2020
Couacaud E.,True,Enzo Couacaud,EnzoCouacaud,active_men,3.0,https://www.tennisabstract.com/charting/EnzoCouacaud.html,2020
Cressy M.,True,Maxime Cressy,MaximeCressy,active_men,39.0,https://www.tennisabstract.com/charting/MaximeCressy.html,2020
Cuevas P.,True,Pablo Cuevas,PabloCuevas,retired_men,40.0,https://www.tennisabstract.com/charting/PabloCuevas.html,2020
Daniel T.,True,Taro Daniel,TaroDaniel,active_men,18.0,https://www.tennisabstract.com/charting/TaroDaniel.html,2020
Davidovich Fokina A.,True,Alejandro Davidovich Fokina,AlejandroDavidovichFokina,active_men,64.0,https://www.tennisabstract.com/charting/AlejandroDavidovichFokina.html,2020
De Minaur A.,True,Alex De Minaur,AlexDeMinaur,active_men,164.0,https://www.tennisabstract.com/charting/AlexDeMinaur.html,2020
Delbonis F.,True,Federico Delbonis,FedericoDelbonis,retired_men,30.0,https://www.tennisabstract.com/charting/FedericoDelbonis.html,2020
Dellien H.,True,Hugo Dellien,HugoDellien,active_men,14.0,https://www.tennisabstract.com/charting/HugoDellien.html,2020
Diaz Acosta F.,True,Facundo Diaz Acosta,FacundoDiazAcosta,active_men,7.0,https://www.tennisabstract.com/charting/FacundoDiazAcosta.html,2020
Diez S.,True,Steven Diez,StevenDiez,active_men,4.0,https://www.tennisabstract.com/charting/StevenDiez.html,2020
Dimitrov G.,True,Grigor Dimitrov,GrigorDimitrov,active_men,197.0,https://www.tennisabstract.com/charting/GrigorDimitrov.html,2020
Djere L.,True,Laslo Djere,LasloDjere,active_men,46.0,https://www.tennisabstract.com/charting/LasloDjere.html,2020
Djokovic N.,True,Novak Djokovic,NovakDjokovic,active_men,654.0,https://www.tennisabstract.com/charting/NovakDjokovic.html,2020
Domingues J.,False,,,,,,2020
Donskoy E.,True,Evgeny Donskoy,EvgenyDonskoy,retired_men,9.0,https://www.tennisabstract.com/charting/EvgenyDonskoy.html,2020
Duckworth J.,True,James Duckworth,JamesDuckworth,active_men,15.0,https://www.tennisabstract.com/charting/JamesDuckworth.html,2020
Dzumhur D.,True,Damir Dzumhur,DamirDzumhur,active_men,24.0,https://www.tennisabstract.com/charting/DamirDzumhur.html,2020
Edmund K.,True,Kyle Edmund,KyleEdmund,active_men,31.0,https://www.tennisabstract.com/charting/KyleEdmund.html,2020
Escobedo E.,True,Ernesto Escobedo,ErnestoEscobedo,retired_men,3.0,https://www.tennisabstract.com/charting/ErnestoEscobedo.html,2020
Eubanks C.,True,Christopher Eubanks,ChristopherEubanks,active_men,21.0,https://www.tennisabstract.com/charting/ChristopherEubanks.html,2020
Evans D.,True,Daniel Evans,DanielEvans,active_men,47.0,https://www.tennisabstract.com/charting/DanielEvans.html,2020
Fabbiano T.,True,Thomas Fabbiano,ThomasFabbiano,retired_men,13.0,https://www.tennisabstract.com/charting/ThomasFabbiano.html,2020
Federer R.,True,Roger Federer,RogerFederer,retired_men,790.0,https://www.tennisabstract.com/charting/RogerFederer.html,2020
Ficovich J.P.,True,Juan Pablo Ficovich,JuanPabloFicovich,active_men,3.0,https://www.tennisabstract.com/charting/JuanPabloFicovich.html,2020
Fognini F.,True,Fabio Fognini,FabioFognini,retired_men,79.0,https://www.tennisabstract.com/charting/FabioFognini.html,2020
Forejtek J.,False,,,,,,2020
Fritz T.,True,Taylor Fritz,TaylorFritz,active_men,169.0,https://www.tennisabstract.com/charting/TaylorFritz.html,2020
Fucsovics M.,True,Marton Fucsovics,MartonFucsovics,active_men,51.0,https://www.tennisabstract.com/charting/MartonFucsovics.html,2020
