query_name,matched,player_name,player_slug,section,directory_matches,source_url,season
Alcaraz C.,True,Carlos Alcaraz,CarlosAlcaraz,active_men,263.0,https://www.tennisabstract.com/charting/CarlosAlcaraz.html,2026
Altmaier D.,True,Daniel Altmaier,DanielAltmaier,active_men,24.0,https://www.tennisabstract.com/charting/DanielAltmaier.html,2026
Arnaldi M.,True,Matteo Arnaldi,MatteoArnaldi,active_men,28.0,https://www.tennisabstract.com/charting/MatteoArnaldi.html,2026
Atmane T.,True,Terence Atmane,TerenceAtmane,active_men,4.0,https://www.tennisabstract.com/charting/TerenceAtmane.html,2026
Auger Aliassime,True,Felix Auger Aliassime,FelixAugerAliassime,active_men,144.0,https://www.tennisabstract.com/charting/FelixAugerAliassime.html,2026
Auger-Aliassime F.,True,Felix Auger Aliassime,FelixAugerAliassime,active_men,144.0,https://www.tennisabstract.com/charting/FelixAugerAliassime.html,2026
Baadi T.,False,,,,,,2026
Baez S.,True,Sebastian Baez,SebastianBaez,active_men,64.0,https://www.tennisabstract.com/charting/SebastianBaez.html,2026
Barrena A.,False,,,,,,2026
Barrios M.,False,,,,,,2026
Basavareddy N.,True,Nishesh Basavareddy,NisheshBasavareddy,active_men,23.0,https://www.tennisabstract.com/charting/NisheshBasavareddy.html,2026
Basilashvili N.,True,Nikoloz Basilashvili,NikolozBasilashvili,active_men,51.0,https://www.tennisabstract.com/charting/NikolozBasilashvili.html,2026
Bautista Agut R.,True,Roberto Bautista Agut,RobertoBautistaAgut,active_men,105.0,https://www.tennisabstract.com/charting/RobertoBautistaAgut.html,2026
Bautista-Agut,True,Roberto Bautista Agut,RobertoBautistaAgut,active_men,105.0,https://www.tennisabstract.com/charting/RobertoBautistaAgut.html,2026
Bellucci M.,True,Mattia Bellucci,MattiaBellucci,active_men,11.0,https://www.tennisabstract.com/charting/MattiaBellucci.html,2026
Bennani K.,False,,,,,,2026
Bennani R.,False,,,,,,2026
Bergs Z.,True,Zizou Bergs,ZizouBergs,active_men,19.0,https://www.tennisabstract.com/charting/ZizouBergs.html,2026
Berrettini M.,True,Matteo Berrettini,MatteoBerrettini,active_men,126.0,https://www.tennisabstract.com/charting/MatteoBerrettini.html,2026
Blanch Dar.,True,Darwin Blanch,DarwinBlanch,active_men,2.0,https://www.tennisabstract.com/charting/DarwinBlanch.html,2026
Blanchet U.,True,Ugo Blanchet,UgoBlanchet,active_men,2.0,https://www.tennisabstract.com/charting/UgoBlanchet.html,2026
