query_name,matched,player_name,player_slug,section,directory_matches,source_url,season
Eschauer W.,False,,,,,,2003
Escude N.,True,Nicolas Escude,NicolasEscude,retired_men,4.0,https://www.tennisabstract.com/charting/NicolasEscude.html,2003
Etlis G.,False,,,,,,2003
Federer R.,True,Roger Federer,RogerFederer,retired_men,790.0,https://www.tennisabstract.com/charting/RogerFederer.html,2003
Ferreira W.,True,Wayne Ferreira,WayneFerreira,retired_men,17.0,https://www.tennisabstract.com/charting/WayneFerreira.html,2003
Ferreiro F.,False,,,,,,2003
Ferrer D.,True,David Ferrer,DavidFerrer,retired_men,129.0,https://www.tennisabstract.com/charting/DavidFerrer.html,2003
Ferrero J.,True,Juan Carlos Ferrero,JuanCarlosFerrero,retired_men,47.0,https://www.tennisabstract.com/charting/JuanCarlosFerrero.html,2003
Ferrero J.C.,True,Juan Carlos Ferrero,JuanCarlosFerrero,retired_men,47.0,https://www.tennisabstract.com/charting/JuanCarlosFerrero.html,2003
Fish M.,True,Mardy Fish,MardyFish,retired_men,22.0,https://www.tennisabstract.com/charting/MardyFish.html,2003
Fleishman Z.,False,,,,,,2003
Furlan R.,False,,,,,,2003
Fyrstenberg M.,False,,,,,,2003
Galimberti G.,False,,,,,,2003
Gallardo Valles M.,False,,,,,,2003
Galvani S.,False,,,,,,2003
Gambill J. M.,True,Jan Michael Gambill,JanMichaelGambill,retired_men,3.0,https://www.tennisabstract.com/charting/JanMichaelGambill.html,2003
Gambill J.M.,True,Jan Michael Gambill,JanMichaelGambill,retired_men,3.0,https://www.tennisabstract.com/charting/JanMichaelGambill.html,2003
Gamonal H.,False,,,,,,2003
Garcia A.,True,Andrea Lazaro Garcia,AndreaLazaroGarcia,active_women,2.0,https://www.tennisabstract.com/charting/AndreaLazaroGarcia.html,2003
Garcia-Lopez G.,True,Guillermo Garcia Lopez,GuillermoGarciaLopez,retired_men,15.0,https://www.tennisabstract.com/charting/GuillermoGarciaLopez.html,2003
Gasquet R.,True,Richard Gasquet,RichardGasquet,active_men,117.0,https://www.tennisabstract.com/charting/RichardGasquet.html,2003
Gaudenzi A.,True,Andrea Gaudenzi,AndreaGaudenzi,retired_men,5.0,https://www.tennisabstract.com/charting/AndreaGaudenzi.html,2003
Gaudio G.,True,Gaston Gaudio,GastonGaudio,retired_men,17.0,https://www.tennisabstract.com/charting/GastonGaudio.html,2003
Gimelstob J.,False,,,,,,2003
Ginepri R.,True,Robby Ginepri,RobbyGinepri,retired_men,6.0,https://www.tennisabstract.com/charting/RobbyGinepri.html,2003
Giner J.,False,,,,,,2003
Goellner M.K.,False,,,,,,2003
Goldstein P.,False,,,,,,2003
Golmard J.,True,Jerome Golmard,JeromeGolmard,retired_men,2.0,https://www.tennisabstract.com/charting/JeromeGolmard.html,2003
Golovanov D.,False,,,,,,2003
Gonzalez F.,True,Fernando Gonzalez,FernandoGonzalez,retired_men,51.0,https://www.tennisabstract.com/charting/FernandoGonzalez.html,2003
Gooding J.,False,,,,,,2003
Greul S.,False,,,,,,2003
Grosjean S.,True,Sebastien Grosjean,SebastienGrosjean,retired_men,23.0,https://www.tennisabstract.com/charting/SebastienGrosjean.html,2003
Gross O.,False,,,,,,2003
