query_name,matched,player_name,player_slug,section,directory_matches,source_url,season
Ajdukovic D.,True,Duje Ajdukovic,DujeAjdukovic,active_men,3.0,https://www.tennisabstract.com/charting/DujeAjdukovic.html,2023
Albot R.,True,Radu Albot,RaduAlbot,active_men,24.0,https://www.tennisabstract.com/charting/RaduAlbot.html,2023
Alcaraz C.,True,Carlos Alcaraz,CarlosAlcaraz,active_men,263.0,https://www.tennisabstract.com/charting/CarlosAlcaraz.html,2023
Altmaier D.,True,Daniel Altmaier,DanielAltmaier,active_men,24.0,https://www.tennisabstract.com/charting/DanielAltmaier.html,2023
Alves M.,True,Mateus Alves,MateusAlves,active_men,2.0,https://www.tennisabstract.com/charting/MateusAlves.html,2023
Anderson K.,True,Kevin Anderson,KevinAnderson,retired_men,51.0,https://www.tennisabstract.com/charting/KevinAnderson.html,2023
Andreozzi G.,True,Guido Andreozzi,GuidoAndreozzi,retired_men,5.0,https://www.tennisabstract.com/charting/GuidoAndreozzi.html,2023
Andujar P.,True,Pablo Andujar,PabloAndujar,retired_men,19.0,https://www.tennisabstract.com/charting/PabloAndujar.html,2023
Arnaldi M.,True,Matteo Arnaldi,MatteoArnaldi,active_men,28.0,https://www.tennisabstract.com/charting/MatteoArnaldi.html,2023
Atmane T.,True,Terence Atmane,TerenceAtmane,active_men,4.0,https://www.tennisabstract.com/charting/TerenceAtmane.html,2023
Auger-Aliassime F.,True,Felix Auger Aliassime,FelixAugerAliassime,active_men,144.0,https://www.tennisabstract.com/charting/FelixAugerAliassime.html,2023
Baez S.,True,Sebastian Baez,SebastianBaez,active_men,64.0,https://www.tennisabstract.com/charting/SebastianBaez.html,2023
Bagnis F.,True,Facundo Bagnis,FacundoBagnis,active_men,11.0,https://www.tennisabstract.com/charting/FacundoBagnis.html,2023
Balazs A.,True,Attila Balazs,AttilaBalazs,retired_men,8.0,https://www.tennisabstract.com/charting/AttilaBalazs.html,2023
Barrere G.,True,Gregoire Barrere,GregoireBarrere,active_men,19.0,https://www.tennisabstract.com/charting/GregoireBarrere.html,2023
Barrios M.,False,,,,,,2023
Basilashvili N.,True,Nikoloz Basilashvili,NikolozBasilashvili,active_men,51.0,https://www.tennisabstract.com/charting/NikolozBasilashvili.html,2023
