league,target_mode,csv_path,future_matches_detected,best_n_seasons,best_cfg_name,best_cfg_override,valid_logloss,test_logloss,valid_acc,test_acc,valid_brier,test_brier,best_iter,n_train,n_valid,n_test,n_future,n_features,features_json,train_seasons,valid_seasons,test_seasons,use_xg,task_kind
Spain/La_Liga,FTR,c:\Users\furim\Desktop\FINAL_tenis\ligi\Spain\La_Liga\merged_data.csv,79,12,leaves_31,"{""num_leaves"": 31}",0.9531764942653841,0.9802179368480111,0.5710526315789474,0.5203389830508475,0.5648398660239855,0.5814014245848257,124,3800,380,590,9,1,"[""xg_elo_diff""]",2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,2024,2025,True,multiclass
Spain/La_Liga,O25,c:\Users\furim\Desktop\FINAL_tenis\ligi\Spain\La_Liga\merged_data.csv,79,12,leaves_31,"{""num_leaves"": 31}",0.6761646562156111,0.674009237717147,0.5631578947368421,0.5983050847457627,0.24178493667202458,0.24051327105840917,171,3800,380,590,9,1,"[""xg_elo_diff""]",2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,2024,2025,True,binary
Spain/La_Liga,BTTS,c:\Users\furim\Desktop\FINAL_tenis\ligi\Spain\La_Liga\merged_data.csv,79,12,baseline,{},0.6916901348134963,0.6918395549404931,0.5263157894736842,0.4915254237288136,0.2492721827452358,0.24934695647718114,9,3800,380,590,9,1,"[""xg_elo_diff""]",2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,2024,2025,True,binary
