league,bin_idx,bin_start,bin_end,n,avg_pred,actual_rate,hits,target_mode,outcome,calib_gap
ALL,11,0.55,0.6000000000000001,2280,0.5738703443406421,0.49429824561403507,1127.0,CRD25,U,0.07957209872660703
ALL,12,0.6000000000000001,0.6500000000000001,1296,0.6218311728334778,0.533179012345679,691.0,CRD25,U,0.08865216048779878
ALL,13,0.65,0.7000000000000001,470,0.6709019181687431,0.6170212765957447,290.0,CRD25,U,0.05388064157299843
ALL,14,0.7000000000000001,0.7500000000000001,117,0.7169219971345802,0.6410256410256411,75.0,CRD25,U,0.07589635610893908
ALL,15,0.75,0.8,8,0.7698315694023826,0.875,7.0,CRD25,U,-0.10516843059761738
Belgium/First_Division_A,7,0.35000000000000003,0.4,54,0.38676073928205873,0.4444444444444444,24.0,CRD25,U,-0.05768370516238569
Belgium/First_Division_A,8,0.4,0.45,156,0.424005352786443,0.47435897435897434,74.0,CRD25,U,-0.050353621572531315
Belgium/First_Division_A,9,0.45,0.5,46,0.4628312559030145,0.41304347826086957,19.0,CRD25,U,0.049787777642144926
England/Championship,7,0.35000000000000003,0.4,1,0.38704200214564055,0.0,0.0,CRD25,U,0.38704200214564055
England/Championship,8,0.4,0.45,40,0.43334084011495533,0.375,15.0,CRD25,U,0.05834084011495533
England/Championship,9,0.45,0.5,271,0.48032568713762214,0.45387453874538747,123.0,CRD25,U,0.02645114839223467
England/Championship,10,0.5,0.55,575,0.5268020368355956,0.44869565217391305,258.0,CRD25,U,0.07810638466168252
England/Championship,11,0.55,0.6000000000000001,488,0.5733542126394701,0.4979508196721312,243.0,CRD25,U,0.07540339296733889
England/Championship,12,0.6000000000000001,0.6500000000000001,178,0.6195158891639836,0.4943820224719101,88.0,CRD25,U,0.1251338666920735
England/Championship,13,0.65,0.7000000000000001,45,0.6700393937293061,0.5111111111111111,23.0,CRD25,U,0.15892828261819503
England/Championship,14,0.7000000000000001,0.7500000000000001,10,0.7134899872285001,0.4,4.0,CRD25,U,0.3134899872285001
England/League_One,7,0.35000000000000003,0.4,4,0.38955797216542265,0.0,0.0,CRD25,U,0.38955797216542265
England/League_One,8,0.4,0.45,73,0.4318491606805587,0.3972602739726027,29.0,CRD25,U,0.03458888670795596
England/League_One,9,0.45,0.5,290,0.47927398481264527,0.41379310344827586,120.0,CRD25,U,0.06548088136436941
England/League_One,10,0.5,0.55,570,0.5246390083370579,0.47719298245614034,272.0,CRD25,U,0.047446025880917564
England/League_One,11,0.55,0.6000000000000001,424,0.5743969713034148,0.4882075471698113,207.0,CRD25,U,0.08618942413360353
England/League_One,12,0.6000000000000001,0.6500000000000001,209,0.6198272928309727,0.5023923444976076,105.0,CRD25,U,0.1174349483333651
England/League_One,13,0.65,0.7000000000000001,39,0.665424405132138,0.4358974358974359,17.0,CRD25,U,0.22952696923470206
England/League_One,14,0.7000000000000001,0.7500000000000001,2,0.7042291269591299,0.5,1.0,CRD25,U,0.20422912695912987
England/League_Two,7,0.35000000000000003,0.4,8,0.38174275903781074,0.5,4.0,CRD25,U,-0.11825724096218926
England/League_Two,8,0.4,0.45,51,0.4298151534559301,0.4117647058823529,21.0,CRD25,U,0.018050447573577155
England/League_Two,9,0.45,0.5,206,0.47975357732778046,0.48058252427184467,99.0,CRD25,U,-0.0008289469440642128
England/League_Two,10,0.5,0.55,463,0.527006236851472,0.44924406047516197,208.0,CRD25,U,0.07776217637631
