feature,importance
home_reds_for_avg_last20,14
away_sot_for_avg_last5,14
away_sot_for_avg_last10,14
roll_xg_against_30_diff,14
roll_xg_against_3_diff,14
away_goals_against_avg_last20,14
away_goals_for_avg_last5,14
home_yellows_for_avg_last5,14
home_xg_against_avg_last10,14
away_xg_against_avg_last3,14
away_points_avg_last30,14
roll_yellows_for_5_diff,14
roll_yellows_against_3_diff,14
away_fouls_for_avg_last3,14
away_yellows_for_avg_last5,14
away_momentum_reds_against,14
roll_goals_against_3_diff,14
roll_shots_against_5_diff,13
away_xg_against_avg_last20,13
away_xg_against_avg_last10,13
away_xg_against_avg_last5,13
home_xg_for_avg_last30,13
roll_reds_for_30_diff,13
away_yellows_against_avg_last3,13
home_xg_against_avg_last5,13
home_sot_against_avg_last3,13
away_shots_against_avg_last30,12
away_xg_for_avg_last3,12
away_points_avg_last3,12
home_sot_for_avg_last10,12
roll_xg_for_3_diff,12
home_yellows_against_avg_last3,12
away_sot_for_avg_last20,12
roll_corners_for_3_diff,12
home_goals_against_avg_last30,12
roll_corners_against_5_diff,12
home_corners_against_avg_last3,12
away_xg_against_avg_last30,11
away_momentum_xg_for,11
away_goals_against_avg_last3,11
home_reds_for_avg_last30,11
home_yellows_against_avg_last10,11
Sezon,11
away_sot_against_avg_last3,11
roll_xg_against_5_diff,11
home_xg_for_avg_last5,11
home_xg_against_avg_last20,10
roll_points_3_diff,10
away_corners_against_avg_last10,10
home_points_avg_last10,10
away_sot_for_avg_last3,10
home_momentum_reds_against,10
glicko_away_rd,10
xg_elo_home,10
home_momentum_reds_for,10
home_xg_for_avg_last10,10
roll_reds_for_10_diff,9
momentum_xg_for_diff,9
home_reds_against_avg_last20,9
away_xg_for_avg_last10,9
home_corners_for_avg_last10,8
home_xg_for_avg_last20,8
home_yellows_against_avg_last5,8
home_reds_against_avg_last10,8
away_corners_for_avg_last3,8
home_goals_for_avg_last3,8
glicko_home_rd,8
home_goals_against_avg_last3,8
roll_xg_for_30_diff,7
away_goals_against_avg_last5,7
home_xg_against_avg_last30,7
away_reds_against_avg_last20,7
home_points_avg_last20,7
home_goals_against_avg_last5,6
away_xg_for_avg_last20,6
home_sot_against_avg_last5,6
xg_elo_H_home,6
roll_xg_for_10_diff,6
away_points_avg_last5,6
roll_xg_for_5_diff,5
home_xg_against_avg_last3,5
xg_elo_A_away,4
home_reds_for_avg_last10,4
away_xg_for_avg_last5,4
roll_reds_against_10_diff,4
xg_elo_HA_diff,4
away_reds_against_avg_last10,4
away_reds_against_avg_last3,3
away_reds_for_avg_last10,3
home_reds_for_avg_last3,3
home_yellows_for_avg_last3,3
roll_reds_for_3_diff,3
away_xg_for_avg_last30,2
roll_reds_against_3_diff,1
roll_reds_for_5_diff,1
roll_reds_against_5_diff,1
xg_elo_away,1
xg_elo_diff,1
home_reds_for_avg_last5,1
away_reds_for_avg_last3,0
away_reds_against_avg_last5,0
away_reds_for_avg_last5,0
home_reds_against_avg_last5,0
home_reds_against_avg_last3,0
