time,liga,mecz,target,typ,prob,acc,score
18:30,Belgium/First_Division_A,RSC Anderlecht vs Royale Union Saint-Gilloise,BTTS,TAK (BTTS),0.544978763821981,0.5431818181818182,0.29602255580330333
16:00,Belgium/First_Division_A,Mechelen vs Sint-Truidense VV,BTTS,TAK (BTTS),0.544978763821981,0.5431818181818182,0.29602255580330333
19:15,Belgium/First_Division_A,SV Zulte Waregem vs RAAL La Louvière,BTTS,TAK (BTTS),0.544978763821981,0.5431818181818182,0.29602255580330333
12:30,Italy/Serie_A,Fiorentina vs Sassuolo,BTTS,TAK (BTTS),0.5513906239781894,0.5361111111111111,0.29560664007719595
20:45,France/Ligue_1,Marseille vs Nice,O25,OVER ,0.5449944315496255,0.5413793103448276,0.29504870949410755
13:30,Belgium/First_Division_A,Gent vs Club Brugge,BTTS,TAK (BTTS),0.5430424939608348,0.5431818181818182,0.2949708092196353
15:00,France/Ligue_1,Lorient vs Strasbourg,CORNOU,UNDER 9.5,0.5295214852325854,0.5549645390070922,0.2938656469464525
18:30,Spain/Segunda_Division,Leganés vs FC Andorra,FOULSOU,OVER 27.0,0.5081723956378276,0.5766233766233766,0.2930240826794746
15:00,Scotland/Premiership,Dundee United vs Dundee,O25,OVER ,0.5191350967290184,0.5642201834862385,0.2929064995305929
13:30,Germany/Bundesliga_2,Paderborn vs Schalke 04,HGOOU,UNDER 1.0,0.5399665162752846,0.5418098510882016,0.29255917777572693
15:00,Italy/Serie_A,Genoa vs Como,BTTS,TAK (BTTS),0.5451657501794221,0.5361111111111111,0.29226941606841245
13:30,Germany/Bundesliga_2,Bochum vs Greuther Furth,O25,OVER ,0.5050607762371087,0.5784650630011455,0.2921600137454065
13:30,Germany/Bundesliga_2,Paderborn vs Schalke 04,SHTOU,UNDER 9.5,0.5369774611936162,0.5440613026819924,0.29214865704786785
17:15,France/Ligue_1,Le Havre vs Metz,CORNOU,UNDER 9.5,0.5262829297433934,0.5549645390070922,0.2920683634923442
17:15,France/Ligue_1,Rennes vs Nantes,CORNOU,UNDER 9.5,0.5262829297433934,0.5549645390070922,0.2920683634923442
20:45,France/Ligue_1,Marseille vs Nice,CORNOU,UNDER 9.5,0.5248961802792396,0.5549645390070922,0.29129876671525173
19:15,Belgium/First_Division_A,SV Zulte Waregem vs RAAL La Louvière,O25,UNDER ,0.5398584513633373,0.5386363636363637,0.2907873931207067
18:30,Belgium/First_Division_A,RSC Anderlecht vs Royale Union Saint-Gilloise,O25,UNDER ,0.5398584513633373,0.5386363636363637,0.2907873931207067
13:30,Germany/Bundesliga_2,Bochum vs Greuther Furth,CORNOU,UNDER 10.0,0.5617840657273718,0.5172413793103449,0.29057796503139927
16:00,Belgium/First_Division_A,Mechelen vs Sint-Truidense VV,FTR,1 (gosp),0.5967305516586263,0.4863636363636364,0.29022804103396826
20:45,France/Ligue_1,Marseille vs Nice,SHTOU,UNDER 8.0,0.5188794013071645,0.5585106382978723,0.28979966562368226
20:45,Italy/Serie_A,Milan vs Juventus,BTTS,TAK (BTTS),0.5385349584688146,0.5361111111111111,0.2887145749568923
17:15,France/Ligue_1,Rennes vs Nantes,O25,OVER ,0.5316543226636965,0.5413793103448276,0.2878266505455184
16:00,Scotland/Premiership,Rangers vs Motherwell,CORNOU,UNDER 10.5,0.5592743206251259,0.5137614678899083,0.2873335959174959
13:30,Germany/Bundesliga_2,Bochum vs Greuther Furth,SHTOU,UNDER 9.5,0.5252134553816568,0.5440613026819924,0.28574831672105466
13:00,England/Championship,Coventry vs Wrexham,CORNOU,OVER 10.5,0.5248622782562291,0.5441542288557214,0.28560602827997544
19:00,Turkey/Super_Lig,Galatasaray vs Fenerbahce,O25,UNDER ,0.5309598359707992,0.5371312309257376,0.2851951102671231
13:30,Germany/Bundesliga_2,Nurnberg vs Magdeburg,SHTOU,UNDER 9.5,0.5219939459239453,0.5440613026819924,0.2839967062114952
15:00,Scotland/Premiership,Dundee United vs Dundee,CORNOU,UNDER 10.5,0.551756955386907,0.5137614678899083,0.283471463318044
20:45,France/Ligue_1,Marseille vs Nice,BTTS,NIE (BTTS),0.5382247594466751,0.5264367816091954,0.283341310145491
18:30,Spain/Segunda_Division,Huesca vs Zaragoza,BTTS,TAK (BTTS),0.5409927955705448,0.5233002291825821,0.2831016539081919
14:30,Netherlands/Eredivisie,Heracles vs Volendam,CORNOU,UNDER 10.0,0.5121716796815607,0.5518518518518518,0.28264288989834274
17:30,Scotland/Premiership,Hibernian vs Hearts,O25,OVER ,0.5008169324854538,0.5642201834862385,0.28257102153995783
17:15,France/Ligue_1,Le Havre vs Metz,O25,OVER ,0.5216564035049815,0.5413793103448276,0.28241398396649
17:30,Scotland/Premiership,Hibernian vs Hearts,BTTS,NIE (BTTS),0.5099738541414509,0.5535168195718655,0.2822791058091823
18:00,Italy/Serie_A,Torino vs Inter,BTTS,NIE (BTTS),0.5258698869776376,0.5361111111111111,0.2819246894074557
17:30,Scotland/Premiership,Hibernian vs Hearts,CORNOU,UNDER 10.5,0.548109467102477,0.5137614678899083,0.28159752438292396
16:00,Scotland/Premiership,Rangers vs Motherwell,BTTS,NIE (BTTS),0.5063030304148985,0.5535168195718655,0.2802472431348521
18:30,Belgium/First_Division_A,RSC Anderlecht vs Royale Union Saint-Gilloise,FTR,1 (gosp),0.5748705619760397,0.4863636363636364,0.2795961369610739
19:15,Belgium/First_Division_A,SV Zulte Waregem vs RAAL La Louvière,FTR,1 (gosp),0.5748705619760397,0.4863636363636364,0.2795961369610739
19:00,Turkey/Super_Lig,Galatasaray vs Fenerbahce,FOULSOU,OVER 25.0,0.5220496668728151,0.5325670498084292,0.27802645093992834
15:00,Scotland/Premiership,Dundee United vs Dundee,BTTS,TAK (BTTS),0.5002393468633924,0.5535168195718655,0.2768908923005322
21:00,Spain/Segunda_Division,Ceuta vs Racing Santander,BTTS,NIE (BTTS),0.5288082585392098,0.5233002291825821,0.2767254828872106
16:00,Belgium/First_Division_A,Mechelen vs Sint-Truidense VV,FOULSOU,OVER 23.0,0.5022714693173164,0.55078125,0.27664170770992813
