time,liga,mecz,target,typ,prob,acc,score
15:30,Germany/Bundesliga_1::wszystkie_sezony,Mainz vs Bayern Munich,FOULSOU,UNDER 29.0,0.9407688943550224,0.939929328621908,0.8842562752594909
15:30,Germany/Bundesliga_1::wszystkie_sezony,Augsburg vs Ein Frankfurt,FOULSOU,UNDER 29.0,0.9291285267571036,0.939929328621908,0.8733151523582668
15:30,Germany/Bundesliga_1::wszystkie_sezony,FC Koln vs Leverkusen,FOULSOU,UNDER 29.0,0.9262054605489816,0.939929328621908,0.8705676766997493
15:30,Germany/Bundesliga_1::wszystkie_sezony,Wolfsburg vs M'gladbach,FOULSOU,UNDER 29.0,0.9223660149633074,0.939929328621908,0.8669588691881263
15:30,Germany/Bundesliga_1::wszystkie_sezony,Heidenheim vs St Pauli,FOULSOU,UNDER 29.0,0.8837374649437363,0.939929328621908,0.830650762102593
18:30,Germany/Bundesliga_1::wszystkie_sezony,Hamburg vs Hoffenheim,FOULSOU,UNDER 29.0,0.7026382257436496,0.939929328621908,0.6604302757873173
18:30,Germany/Bundesliga_1::wszystkie_sezony,Hamburg vs Hoffenheim,CRD25,OVER 2.5,0.7649480495074059,0.7208480565371025,0.5514113148392608
15:30,Germany/Bundesliga_1::wszystkie_sezony,Wolfsburg vs M'gladbach,CRD25,OVER 2.5,0.7520840638781163,0.7208480565371025,0.5421383357990662
15:30,Germany/Bundesliga_1::wszystkie_sezony,Augsburg vs Ein Frankfurt,CRD25,OVER 2.5,0.7437526385147166,0.7208480565371025,0.5361326440176756
15:30,Germany/Bundesliga_1::wszystkie_sezony,Heidenheim vs St Pauli,CRD25,OVER 2.5,0.7263381971805039,0.7208480565371025,0.5235794778262289
15:30,Germany/Bundesliga_1::wszystkie_sezony,FC Koln vs Leverkusen,CRD25,OVER 2.5,0.6850202714641117,0.7208480565371025,0.4937955313734233
15:30,Germany/Bundesliga_1::wszystkie_sezony,Mainz vs Bayern Munich,CRD25,OVER 2.5,0.6688636746664569,0.7208480565371025,0.48214907997158024
15:30,Germany/Bundesliga_1::wszystkie_sezony,Mainz vs Bayern Munich,HGOOU,UNDER 1.0,0.6655457829925504,0.5899198167239404,0.3926186463243568
15:30,Germany/Bundesliga_1::wszystkie_sezony,FC Koln vs Leverkusen,HGOOU,UNDER 1.0,0.6590271885060686,0.5899198167239404,0.3887731982595937
15:30,Germany/Bundesliga_1::wszystkie_sezony,Heidenheim vs St Pauli,AGOOU,UNDER 1.0,0.606405784095799,0.6380297823596792,0.38690495044829326
15:30,Germany/Bundesliga_1::wszystkie_sezony,FC Koln vs Leverkusen,O25,OVER ,0.6221194299759693,0.6197021764032073,0.3855287647388309
15:30,Germany/Bundesliga_1::wszystkie_sezony,Augsburg vs Ein Frankfurt,HGOOU,UNDER 1.0,0.6489720392419231,0.5899198167239404,0.3828414664485572
15:30,Germany/Bundesliga_1::wszystkie_sezony,Mainz vs Bayern Munich,O25,OVER ,0.6154727256680762,0.6197021764032073,0.381409787613321
18:30,Germany/Bundesliga_1::wszystkie_sezony,Hamburg vs Hoffenheim,O25,OVER ,0.6123453642993109,0.6197021764032073,0.3794717549666978
15:30,Germany/Bundesliga_1::wszystkie_sezony,Heidenheim vs St Pauli,HGOOU,UNDER 1.0,0.6350066565500359,0.5899198167239404,0.37460301045047933
18:30,Germany/Bundesliga_1::wszystkie_sezony,Hamburg vs Hoffenheim,HGOOU,UNDER 1.0,0.6347242126804733,0.5899198167239404,0.3744363912147122
15:30,Germany/Bundesliga_1::wszystkie_sezony,Augsburg vs Ein Frankfurt,O25,OVER ,0.5956818396777325,0.6197021764032073,0.36914533249215725
15:30,Germany/Bundesliga_1::wszystkie_sezony,Wolfsburg vs M'gladbach,O25,OVER ,0.5945836930531834,0.6197021764032073,0.36846480863891434
15:30,Germany/Bundesliga_1::wszystkie_sezony,Mainz vs Bayern Munich,BTTS,TAK (BTTS),0.6170158966811271,0.5910652920962199,0.36469668119984144
15:30,Germany/Bundesliga_1::wszystkie_sezony,Augsburg vs Ein Frankfurt,AGOOU,UNDER 1.0,0.5570102509402286,0.6380297823596792,0.3553891291795044
15:30,Germany/Bundesliga_1::wszystkie_sezony,FC Koln vs Leverkusen,AGOOU,OVER 1.0,0.5418731388914645,0.6380297823596792,0.3457312008734773
15:30,Germany/Bundesliga_1::wszystkie_sezony,Mainz vs Bayern Munich,AGOOU,OVER 1.0,0.5382948093225302,0.6380297823596792,0.34344812003739894
15:30,Germany/Bundesliga_1::wszystkie_sezony,Augsburg vs Ein Frankfurt,BTTS,TAK (BTTS),0.5758426938555602,0.5910652920962199,0.34036063004521083
15:30,Germany/Bundesliga_1::wszystkie_sezony,FC Koln vs Leverkusen,BTTS,TAK (BTTS),0.5665877956521963,0.5910652920962199,0.33489038093531875
18:30,Germany/Bundesliga_1::wszystkie_sezony,Hamburg vs Hoffenheim,BTTS,TAK (BTTS),0.5628799759409578,0.5910652920962199,0.3326988173946555
15:30,Germany/Bundesliga_1::wszystkie_sezony,Heidenheim vs St Pauli,SHTOU,UNDER 9.5,0.5618593030025781,0.5918727915194346,0.33254923410929976
15:30,Germany/Bundesliga_1::wszystkie_sezony,Wolfsburg vs M'gladbach,BTTS,TAK (BTTS),0.5541193132203244,0.5910652920962199,0.3275206937247278
15:30,Germany/Bundesliga_1::wszystkie_sezony,Wolfsburg vs M'gladbach,AGOOU,OVER 1.0,0.5124472170256422,0.6380297823596792,0.3269565863496938
18:30,Germany/Bundesliga_1::wszystkie_sezony,Hamburg vs Hoffenheim,AGOOU,UNDER 1.0,0.5065609189092606,0.6380297823596792,0.3232009528435946
15:30,Germany/Bundesliga_1::wszystkie_sezony,Augsburg vs Ein Frankfurt,SHTOU,OVER 9.5,0.5428782837744834,0.5918727915194346,0.3213148852728833
15:30,Germany/Bundesliga_1::wszystkie_sezony,FC Koln vs Leverkusen,SHTOU,UNDER 9.5,0.5398316191226742,0.5918727915194346,0.3195116473605934
15:30,Germany/Bundesliga_1::wszystkie_sezony,Wolfsburg vs M'gladbach,HGOOU,UNDER 1.0,0.5407622839635459,0.5899198167239404,0.31900638744699444
15:30,Germany/Bundesliga_1::wszystkie_sezony,Heidenheim vs St Pauli,O25,UNDER ,0.5119110554752817,0.6197021764032073,0.3172323952028951
15:30,Germany/Bundesliga_1::wszystkie_sezony,Heidenheim vs St Pauli,BTTS,TAK (BTTS),0.5234171994325274,0.5910652920962199,0.3093737398707722
15:30,Germany/Bundesliga_1::wszystkie_sezony,Mainz vs Bayern Munich,FTR,2 (gosc),0.5977112700285737,0.5154639175257731,0.3080985927982338
15:30,Germany/Bundesliga_1::wszystkie_sezony,Mainz vs Bayern Munich,SHTOU,OVER 9.5,0.5059276902888189,0.5918727915194346,0.29944483435822317
18:30,Germany/Bundesliga_1::wszystkie_sezony,Hamburg vs Hoffenheim,SHTOU,UNDER 9.5,0.5051647473068712,0.5918727915194346,0.29899326916572766
15:30,Germany/Bundesliga_1::wszystkie_sezony,Wolfsburg vs M'gladbach,SHTOU,UNDER 9.5,0.5012856447480212,0.5918727915194346,0.2966973339056309
15:30,Germany/Bundesliga_1::wszystkie_sezony,Heidenheim vs St Pauli,CORNOU,OVER 9.5,0.581127693634413,0.4946996466431095,0.28748366469546927
18:30,Germany/Bundesliga_1::wszystkie_sezony,Hamburg vs Hoffenheim,CORNOU,UNDER 9.5,0.5273240859302377,0.4946996466431095,0.2608670389760893
15:30,Germany/Bundesliga_1::wszystkie_sezony,Mainz vs Bayern Munich,CORNOU,OVER 9.5,0.5270634375938551,0.4946996466431095,0.2607380963361827
15:30,Germany/Bundesliga_1::wszystkie_sezony,Augsburg vs Ein Frankfurt,CORNOU,UNDER 9.5,0.5244537044114355,0.4946996466431095,0.2594470622530069
15:30,Germany/Bundesliga_1::wszystkie_sezony,FC Koln vs Leverkusen,CORNOU,OVER 9.5,0.5241905722933949,0.4946996466431095,0.25931689088719184
15:30,Germany/Bundesliga_1::wszystkie_sezony,Wolfsburg vs M'gladbach,CORNOU,OVER 9.5,0.5004024401335816,0.4946996466431095,0.24754891031343257
